lakeid,lakename,year4,daynum,sampledate,depth,depth_id,dic,primary_prod_rep1,primary_prod_rep2,chla,phaeo,chla_lt_35um,phaeo_lt_35um,alk_phosphatase
"C","Central Long Lake",1992,241,1992-08-28,0.00,1,,,,8.5090,12.5900,7.5360,12.1100,
"C","Central Long Lake",1992,241,1992-08-28,0.55,2,,,,8.0540,11.3160,6.9420,11.5980,
"C","Central Long Lake",1992,241,1992-08-28,1.10,3,,,,8.1260,10.2060,6.7310,12.0850,
"C","Central Long Lake",1992,241,1992-08-28,1.80,4,,,,8.6290,12.8160,6.8840,11.3790,
"C","Central Long Lake",1992,241,1992-08-28,2.40,5,,,,8.5570,12.5420,7.1140,12.2550,
"C","Central Long Lake",1992,241,1992-08-28,3.40,6,,,,37.3610,39.6560,34.7400,37.2040,
"C","Central Long Lake",1992,245,1992-09-01,0.00,1,,,,7.9340,13.8570,6.7880,11.7510,
"C","Central Long Lake",1992,245,1992-09-01,0.60,2,,,,7.5740,14.2160,5.6760,12.5870,
"C","Central Long Lake",1992,245,1992-09-01,1.40,3,,,,8.0780,13.3670,6.4620,12.9070,
"C","Central Long Lake",1992,245,1992-09-01,1.95,4,,,,8.9170,15.2950,6.9220,13.0000,
"C","Central Long Lake",1992,245,1992-09-01,2.60,5,,,,8.9490,15.4940,6.5840,13.2470,
"C","Central Long Lake",1992,245,1992-09-01,3.60,6,,,,10.7380,14.6260,9.0450,14.0140,
"C","Central Long Lake",1992,252,1992-09-08,0.00,1,,,,7.7420,13.3570,6.3090,13.8910,
"C","Central Long Lake",1992,252,1992-09-08,0.55,2,,,,8.1260,12.9730,6.1550,12.6610,
"C","Central Long Lake",1992,252,1992-09-08,0.80,3,,,,8.6770,13.1140,7.5740,10.6880,
"C","Central Long Lake",1992,252,1992-09-08,1.50,4,,,,8.4130,14.0690,5.9250,11.7840,
"C","Central Long Lake",1992,252,1992-09-08,2.15,5,,,,8.4370,13.2380,7.5110,14.1650,
"C","Central Long Lake",1992,252,1992-09-08,2.75,6,,,,7.4790,13.7360,5.9440,12.9640,
"C","Central Long Lake",1993,141,1993-05-21,0.00,1,,,,6.0790,8.6930,5.7820,5.8440,
"C","Central Long Lake",1993,141,1993-05-21,0.40,2,,,,9.3470,10.3490,5.6870,6.6230,
"C","Central Long Lake",1993,141,1993-05-21,0.90,3,,,,5.9070,6.4030,5.6870,5.9390,
"C","Central Long Lake",1993,141,1993-05-21,1.60,4,,,,6.5230,8.8650,6.5950,8.1770,
"C","Central Long Lake",1993,141,1993-05-21,2.30,5,,,,9.1750,8.2640,6.8810,7.0700,
"C","Central Long Lake",1993,141,1993-05-21,3.20,6,,,,18.7810,27.3820,13.9350,18.8920,
"C","Central Long Lake",1993,155,1993-06-04,0.00,1,,,,17.3470,21.6350,13.0460,13.2840,
"C","Central Long Lake",1993,155,1993-06-04,0.40,2,,,,17.8490,19.5940,14.8240,13.0790,
"C","Central Long Lake",1993,155,1993-06-04,0.75,3,,,,14.9460,18.3940,11.5550,11.0130,
"C","Central Long Lake",1993,155,1993-06-04,1.40,4,,,,15.5310,22.0830,11.0390,11.5290,
"C","Central Long Lake",1993,155,1993-06-04,2.00,5,,,,16.0090,18.1860,11.9350,11.6590,
"C","Central Long Lake",1993,155,1993-06-04,3.25,6,,,,12.9030,16.5050,9.9640,11.5790,
"C","Central Long Lake",1993,169,1993-06-18,0.00,1,,,,6.2120,11.2270,5.5300,7.9530,
"C","Central Long Lake",1993,169,1993-06-18,0.45,2,,,,6.2120,8.4910,3.8500,6.7010,
"C","Central Long Lake",1993,169,1993-06-18,0.90,3,,,,5.5430,7.4510,4.3210,6.5230,
"C","Central Long Lake",1993,169,1993-06-18,1.75,4,,,,5.3330,9.4390,3.2020,9.4500,
"C","Central Long Lake",1993,169,1993-06-18,2.40,5,,,,5.9350,10.8880,3.6560,6.6030,
"C","Central Long Lake",1993,169,1993-06-18,3.50,6,,,,139.6360,139.3920,111.3930,104.0320,
"C","Central Long Lake",1993,183,1993-07-02,0.00,1,,,,7.1680,9.2450,7.4790,12.3540,
"C","Central Long Lake",1993,183,1993-07-02,0.45,2,,,,7.4070,11.4000,7.3590,12.1320,
"C","Central Long Lake",1993,183,1993-07-02,1.00,3,,,,7.7180,12.7990,7.6460,12.1870,
"C","Central Long Lake",1993,183,1993-07-02,1.70,4,,,,5.1900,10.8130,5.0180,11.0540,
"C","Central Long Lake",1993,183,1993-07-02,2.25,5,,,,4.7600,9.6020,4.6120,11.1180,
"C","Central Long Lake",1993,183,1993-07-02,3.30,6,,,,6.8810,17.0550,6.9530,14.5890,
"C","Central Long Lake",1993,197,1993-07-16,0.00,1,,,,7.1440,11.3210,8.2670,11.9080,
"C","Central Long Lake",1993,197,1993-07-16,0.30,2,,,,8.7450,13.4810,8.7450,10.7460,
"C","Central Long Lake",1993,197,1993-07-16,0.80,3,,,,6.5710,9.8430,7.3350,9.4200,
"C","Central Long Lake",1993,197,1993-07-16,1.30,4,,,,9.4330,13.9560,10.5850,11.3000,
"C","Central Long Lake",1993,197,1993-07-16,1.90,5,,,,7.3400,13.5870,9.6530,15.6510,
"C","Central Long Lake",1993,197,1993-07-16,2.80,6,,,,7.2160,16.7200,6.3080,13.1830,
"C","Central Long Lake",1993,211,1993-07-30,0.00,1,,,,11.7080,21.4610,9.0080,15.9540,
"C","Central Long Lake",1993,211,1993-07-30,0.30,2,,,,10.9670,18.4400,9.7250,15.5790,
"C","Central Long Lake",1993,211,1993-07-30,0.75,3,,,,12.1380,21.0310,9.2710,18.0850,
"C","Central Long Lake",1993,211,1993-07-30,1.30,4,,,,9.8350,19.7090,9.1270,16.1770,
"C","Central Long Lake",1993,211,1993-07-30,1.90,5,,,,10.3510,18.7830,8.5780,17.4100,
"C","Central Long Lake",1993,211,1993-07-30,2.80,6,,,,9.6050,17.4770,7.6220,15.2880,
"C","Central Long Lake",1993,225,1993-08-13,0.00,1,,,,8.1430,22.6320,7.7660,19.9320,
"C","Central Long Lake",1993,225,1993-08-13,0.60,2,,,,8.0000,22.7750,7.1200,16.4740,
"C","Central Long Lake",1993,225,1993-08-13,1.00,3,,,,8.6880,20.8560,,,
"C","Central Long Lake",1993,225,1993-08-13,1.80,4,,,,16.8450,25.7270,13.4760,22.6330,
"C","Central Long Lake",1993,225,1993-08-13,2.40,5,,,,27.4540,33.5830,24.9740,28.3700,
"C","Central Long Lake",1993,225,1993-08-13,3.50,6,,,,81.0720,90.2430,75.3370,84.6930,
"C","Central Long Lake",1993,239,1993-08-27,0.00,1,,,,6.5090,18.6170,2.7760,9.6320,
"C","Central Long Lake",1993,239,1993-08-27,0.45,2,,,,6.4070,17.4780,3.0510,12.2000,
"C","Central Long Lake",1993,239,1993-08-27,0.90,3,,,,6.2550,17.3200,2.8820,9.5260,
"C","Central Long Lake",1993,239,1993-08-27,1.60,4,,,,7.9140,20.0040,5.7970,11.5740,
"C","Central Long Lake",1993,239,1993-08-27,2.20,5,,,,8.8040,22.9920,5.9240,13.9280,
"C","Central Long Lake",1993,239,1993-08-27,3.20,6,,,,24.4730,46.0980,23.1380,48.2080,
"C","Central Long Lake",1993,246,1993-09-03,0.00,1,,,,14.0800,10.7360,9.3820,9.5400,
"C","Central Long Lake",1993,246,1993-09-03,0.50,2,,,,14.1430,11.4480,10.3230,8.5990,
"C","Central Long Lake",1993,246,1993-09-03,1.00,3,,,,14.0160,12.3510,10.3230,10.1500,
"C","Central Long Lake",1993,246,1993-09-03,1.80,4,,,,11.5370,7.8500,9.1790,8.1920,
"C","Central Long Lake",1993,246,1993-09-03,2.50,5,,,,11.9190,7.8570,9.0770,9.5350,
"C","Central Long Lake",1993,246,1993-09-03,3.60,6,,,,26.8250,14.2770,27.7990,17.6970,
"C","Central Long Lake",1994,147,1994-05-27,0.00,1,,,,0.9170,28.8770,1.0920,31.8900,
"C","Central Long Lake",1994,147,1994-05-27,0.75,2,,,,1.2120,31.6950,1.0370,28.9800,
"C","Central Long Lake",1994,147,1994-05-27,1.25,3,,,,1.4080,25.7180,1.2830,28.3630,
"C","Central Long Lake",1994,147,1994-05-27,2.20,4,,,,1.4410,25.6850,0.9280,25.7540,
"C","Central Long Lake",1994,147,1994-05-27,3.40,5,,,,3.7330,104.7710,3.5470,91.3200,
"C","Central Long Lake",1994,161,1994-06-10,0.00,1,,,,10.0280,33.3290,8.9400,22.6330,
"C","Central Long Lake",1994,161,1994-06-10,0.45,2,,,,9.8650,26.2660,9.6600,25.0260,
"C","Central Long Lake",1994,161,1994-06-10,1.20,3,,,,11.0520,34.5290,9.5620,25.5690,
"C","Central Long Lake",1994,161,1994-06-10,2.00,4,,,,11.1340,26.6650,10.1180,21.4540,
"C","Central Long Lake",1994,161,1994-06-10,2.75,5,,,,12.0340,32.9910,9.4640,19.8860,
"C","Central Long Lake",1994,175,1994-06-24,0.00,1,,,,8.5550,22.5730,5.8620,14.5940,
"C","Central Long Lake",1994,175,1994-06-24,0.60,2,,,,8.4730,22.0990,5.6000,13.5220,
"C","Central Long Lake",1994,175,1994-06-24,1.25,3,,,,9.4550,20.0050,5.5670,19.7810,
"C","Central Long Lake",1994,175,1994-06-24,2.10,4,,,,7.7770,22.2390,5.5010,10.0630,
"C","Central Long Lake",1994,175,1994-06-24,2.70,5,,,,7.7770,25.0190,4.9120,18.2120,
"C","Central Long Lake",1994,175,1994-06-24,3.90,6,,,,5.8830,107.0170,4.0710,66.7090,
"C","Central Long Lake",1994,189,1994-07-08,0.00,1,,,,11.7560,27.8220,9.7150,29.5660,
"C","Central Long Lake",1994,189,1994-07-08,0.50,2,,,,12.1810,30.0640,10.6700,33.0580,
"C","Central Long Lake",1994,189,1994-07-08,1.20,3,,,,9.9880,24.6980,8.8690,24.4830,
"C","Central Long Lake",1994,189,1994-07-08,2.00,4,,,,10.6750,28.9020,10.3420,24.4920,
"C","Central Long Lake",1994,189,1994-07-08,2.60,5,,,,9.2340,35.2350,9.4420,25.7630,
"C","Central Long Lake",1994,189,1994-07-08,3.60,6,,,,39.6230,83.4080,41.7510,63.8630,
"C","Central Long Lake",1994,203,1994-07-22,0.00,1,,,,5.9930,28.6930,5.8400,21.5830,
"C","Central Long Lake",1994,203,1994-07-22,0.25,2,,,,6.2870,31.0670,5.8120,24.5750,
"C","Central Long Lake",1994,203,1994-07-22,0.70,3,,,,7.2040,19.4770,5.5670,24.8200,
"C","Central Long Lake",1994,203,1994-07-22,2.10,4,,,,5.3700,26.6470,5.1030,22.3200,
"C","Central Long Lake",1994,203,1994-07-22,2.70,5,,,,7.0080,39.6850,5.8400,36.4060,
"C","Central Long Lake",1994,217,1994-08-05,0.00,1,,,,8.7870,29.0120,7.8360,26.4690,
"C","Central Long Lake",1994,217,1994-08-05,0.70,2,,,,8.8140,27.8730,7.5550,26.4320,
"C","Central Long Lake",1994,217,1994-08-05,1.30,3,,,,8.3780,29.4210,7.5780,27.0440,
"C","Central Long Lake",1994,217,1994-08-05,2.10,4,,,,8.5960,28.4620,7.3680,26.3020,
"C","Central Long Lake",1994,217,1994-08-05,2.80,5,,,,8.7600,29.0390,7.7190,30.0800,
"C","Central Long Lake",1994,231,1994-08-19,0.00,1,,,,8.3150,12.5440,5.5710,8.2050,
"C","Central Long Lake",1994,231,1994-08-19,0.60,2,,,,7.8130,11.3360,6.0620,8.5930,
"C","Central Long Lake",1994,231,1994-08-19,1.40,3,,,,8.0280,11.8040,5.7140,9.2340,
"C","Central Long Lake",1994,231,1994-08-19,2.40,4,,,,5.0180,11.3960,6.2880,11.2980,
"C","Central Long Lake",1994,231,1994-08-19,3.00,5,,,,6.0450,10.0260,6.6360,11.2430,
"C","Central Long Lake",1994,245,1994-09-02,0.00,1,,,,3.4200,6.8380,2.4550,4.4690,
"C","Central Long Lake",1994,245,1994-09-02,0.50,2,,,,4.0350,7.1030,3.0290,4.6650,
"C","Central Long Lake",1994,245,1994-09-02,1.10,3,,,,3.9940,6.5580,2.8140,5.1370,
"C","Central Long Lake",1994,245,1994-09-02,2.00,4,,,,4.2390,7.7770,2.6520,4.7850,
"C","Central Long Lake",1994,245,1994-09-02,2.60,5,,,,3.6660,7.7650,2.4370,5.2570,
"C","Central Long Lake",1995,146,1995-05-26,0.00,1,,,,7.2070,8.9890,3.5220,6.1950,
"C","Central Long Lake",1995,146,1995-05-26,0.60,2,,,,7.6090,8.9110,4.9390,6.7220,
"C","Central Long Lake",1995,146,1995-05-26,0.80,3,,,,7.8100,8.7100,5.0150,5.9980,
"C","Central Long Lake",1995,146,1995-05-26,1.60,4,,,,18.9510,12.1450,13.1510,8.8750,
"C","Central Long Lake",1995,146,1995-05-26,1.90,5,,,,49.9630,30.7970,40.7160,17.9610,
"C","Central Long Lake",1995,146,1995-05-26,2.90,6,,,,21.7840,22.7000,14.9310,14.2210,
"C","Central Long Lake",1995,153,1995-06-02,0.00,1,,,,6.0420,5.8300,5.1370,4.4570,
"C","Central Long Lake",1995,153,1995-06-02,0.40,2,,,,4.3000,5.0130,3.1430,3.6110,
"C","Central Long Lake",1995,153,1995-06-02,0.75,3,,,,11.7530,7.2500,9.3320,3.9490,
"C","Central Long Lake",1995,153,1995-06-02,1.20,4,,,,17.5720,10.0680,14.6440,7.7060,
"C","Central Long Lake",1995,153,1995-06-02,1.50,5,,,,18.2610,11.9700,13.5530,6.8540,
"C","Central Long Lake",1995,153,1995-06-02,2.20,6,,,,105.9670,31.9980,65.3810,18.5330,
"C","Central Long Lake",1995,160,1995-06-09,0.00,1,,,,37.3610,23.2090,14.2430,13.5180,
"C","Central Long Lake",1995,160,1995-06-09,0.25,2,,,,39.4490,26.1690,14.2430,14.3590,
"C","Central Long Lake",1995,160,1995-06-09,0.50,3,,,,50.1120,30.6470,10.0670,11.3850,
"C","Central Long Lake",1995,160,1995-06-09,0.90,4,,,,29.7540,19.4590,15.6600,10.4190,
"C","Central Long Lake",1995,160,1995-06-09,1.30,5,,,,53.5800,32.2270,20.8800,10.2460,
"C","Central Long Lake",1995,160,1995-06-09,2.20,6,,,,37.5840,25.5090,14.2060,11.0310,
"C","Central Long Lake",1995,167,1995-06-16,0.00,1,,,,4.4700,8.6550,3.6670,6.2340,
"C","Central Long Lake",1995,167,1995-06-16,0.25,2,,,,4.4290,7.6980,3.7010,6.1230,
"C","Central Long Lake",1995,167,1995-06-16,0.55,3,,,,4.4630,8.3550,4.0460,6.8020,
"C","Central Long Lake",1995,167,1995-06-16,1.00,4,,,,7.1030,10.7040,5.1510,8.1280,
"C","Central Long Lake",1995,167,1995-06-16,1.40,5,,,,6.8530,9.1270,5.2540,8.0260,
"C","Central Long Lake",1995,167,1995-06-16,2.20,6,,,,20.9600,20.5000,14.5480,12.6610,
"C","Central Long Lake",1995,174,1995-06-23,0.00,1,,,,12.5190,23.4350,4.7360,10.6160,
"C","Central Long Lake",1995,174,1995-06-23,0.30,2,,,,10.7390,25.2150,4.3950,10.2650,
"C","Central Long Lake",1995,174,1995-06-23,0.55,3,,,,12.1740,25.7230,4.3640,9.9640,
"C","Central Long Lake",1995,174,1995-06-23,1.20,4,,,,14.7010,28.4870,6.1160,9.1080,
"C","Central Long Lake",1995,174,1995-06-23,1.50,5,,,,16.1180,23.6160,9.7910,10.2910,
"C","Central Long Lake",1995,174,1995-06-23,2.40,6,,,,9.7620,25.2200,7.5420,15.3480,
"C","Central Long Lake",1995,181,1995-06-30,0.00,1,,,,22.1280,35.3120,9.2170,14.4290,
"C","Central Long Lake",1995,181,1995-06-30,0.35,2,,,,22.4730,32.3760,8.8720,12.8300,
"C","Central Long Lake",1995,181,1995-06-30,0.55,3,,,,22.3960,33.7480,9.3600,13.9610,
"C","Central Long Lake",1995,181,1995-06-30,1.00,4,,,,23.1430,37.7530,8.6140,13.4120,
"C","Central Long Lake",1995,181,1995-06-30,1.30,5,,,,22.7410,34.2680,9.9160,13.8380,
"C","Central Long Lake",1995,181,1995-06-30,2.20,6,,,,13.5530,32.4430,7.6570,15.6650,
"C","Central Long Lake",1995,188,1995-07-07,0.00,1,,,,45.0790,39.4670,24.9070,21.3620,
"C","Central Long Lake",1995,188,1995-07-07,0.25,2,,,,43.0650,40.2180,27.1440,22.4890,
"C","Central Long Lake",1995,188,1995-07-07,0.50,3,,,,42.8420,37.9180,28.4870,23.6710,
"C","Central Long Lake",1995,188,1995-07-07,0.90,4,,,,48.7700,37.0370,35.0120,25.5580,
"C","Central Long Lake",1995,188,1995-07-07,1.30,5,,,,33.1100,32.5070,18.9040,22.7380,
"C","Central Long Lake",1995,188,1995-07-07,2.20,6,,,,38.4790,37.2330,24.7210,24.4920,
"C","Central Long Lake",1995,195,1995-07-14,0.00,1,,,,35.4320,37.7720,13.8210,21.1620,
"C","Central Long Lake",1995,195,1995-07-14,0.35,2,,,,31.6420,33.1410,18.1080,23.7840,
"C","Central Long Lake",1995,195,1995-07-14,0.60,3,,,,32.5030,33.5750,22.3580,26.0130,
"C","Central Long Lake",1995,195,1995-07-14,1.00,4,,,,30.4360,33.0510,21.2480,25.3960,
"C","Central Long Lake",1995,195,1995-07-14,1.40,5,,,,59.9530,48.8810,39.2790,38.4590,
"C","Central Long Lake",1995,195,1995-07-14,1.90,6,,,,50.3050,46.8680,31.5270,35.8470,
"C","Central Long Lake",1995,202,1995-07-21,0.00,1,,,,23.4870,28.9860,11.3320,18.4680,
"C","Central Long Lake",1995,202,1995-07-21,0.35,2,,,,22.9700,30.1510,10.7960,21.5950,
"C","Central Long Lake",1995,202,1995-07-21,0.60,3,,,,25.8420,31.8150,12.5950,21.9550,
"C","Central Long Lake",1995,202,1995-07-21,1.00,4,,,,24.0040,27.8220,9.0730,17.4870,
"C","Central Long Lake",1995,202,1995-07-21,1.40,5,,,,16.1940,30.4490,9.1310,21.3170,
"C","Central Long Lake",1995,202,1995-07-21,1.90,6,,,,54.5550,55.5750,37.3840,47.4800,
"C","Central Long Lake",1995,209,1995-07-28,0.00,1,,,,21.4770,43.3050,14.5100,33.8610,
"C","Central Long Lake",1995,209,1995-07-28,0.30,2,,,,21.9370,39.6060,14.4330,33.0740,
"C","Central Long Lake",1995,209,1995-07-28,0.60,3,,,,23.6600,41.1230,15.9640,32.8380,
"C","Central Long Lake",1995,209,1995-07-28,1.10,4,,,,28.2540,41.7110,18.6830,35.3030,
"C","Central Long Lake",1995,209,1995-07-28,1.50,5,,,,26.8750,39.2030,21.0940,41.5280,
"C","Central Long Lake",1995,209,1995-07-28,2.30,6,,,,100.8960,118.6700,64.9520,83.9490,
"C","Central Long Lake",1995,216,1995-08-04,0.00,1,,,,27.6790,46.8200,21.3620,37.8050,
"C","Central Long Lake",1995,216,1995-08-04,0.30,2,,,,27.0480,51.3390,21.6300,39.6970,
