web ,ref,Kingdom,Phylum,Class,Order,Family,Genus,Species,Sub/Var,Common Name
85,79,Animalia,Arthropoda,Insecta,Lepidoptera,Pyralidae,Eoparagyractis,nf,,lepidoptera
86,80,Animalia,Arthropoda,Insecta,Diptera,Ceroptogonidae,Bezzia,nf,,diptera
87,81,Animalia,Arthropoda,Insecta,Diptera,Ceroptogonidae,Sphaeromais,nf,,diptera
88,82,Animalia,Arthropoda,Insecta,Diptera,Choaboridae,Choaborus,albatus,,diptera
89,83,Animalia,Arthropoda,Insecta,Diptera,Choaboridae,Chaoborus,punctipennis,,diptera
90,84,Animalia,Arthropoda,Insecta,Diptera, ,Albabesmyia,nf,,diptera
91,85,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Clinotanypus,nf,,chironomid
92,86,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Djalmabatista,nf,,chironomid
93,87,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Guttipelopia,nf,,chironomid
94,88,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Larsia,nf,,chironomid
95,89,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Macropelopis,nf,,chironomid
96,90,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Procladius,nf,,chironomid
97,91,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Chaetocladius,nf,,chironomid
98,92,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Corynoneura,nf,,chironomid
99,93,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Cricotopus,nf,,chironomid
100,94,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Nanocladius,nf,,chironomid
101,95,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Micropsectra,nf,,chironomid
102,96,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Paratanytarsus,nf,,chironomid
103,97,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Tanytarsus,nf,,chironomid
104,98,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Chironomus,nf,,chironomid
105,99,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Cladopelma,nf,,chironomid
106,100,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Cryptochironomus,nf,,chironomid
107,101,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Endochrionomus,nf,,chironomid
108,102,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Glyptotendipes,nf,,chironomid
109,103,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Microtendipes,nf,,chironomid
110,104,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Parachironomus,nf,,chironomid
111,105,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Paratendipes,nf,,chironomid
112,106,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Polypedilum,nf,,chironomid
113,107,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Pseudochironomus,nf,,chironomid
114,108,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Stenochironomus,nf,,chironomid
115,109,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Stictochironomus,nf,,chironomid
116,110,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Xenochironomus,nf,,chironomid
118,111,Animalia,Mollusca,Pelecypoda,nf,nf,nf,nf,,mollusc
119,112,Animalia,Mollusca,Gastropoda,Mesogastropoda,Viviparidae,Campeloma,decisum,,mollusc
120,113,Animalia,Mollusca,Pelecypoda,nf,Sphaeriidae,nf,nf,,mollusc
121,114,Animalia,Annelida,Oligochaeta,nf,nf,nf,nf,,annelid 
122,115,Animalia,Annelida,Hirundinidae,nf,nf,nf,nf,,annelid 
123,116,Animalia,Platyhelminthes,Turbellaria,Tricladida,nf,nf,nf,,tubellaria
124,117,Animalia,Arthropoda,Malacostraca,Amphipoda,Crangonyctidae,Crangonyx,gracilis,,amphipod
125,118,Animalia,Porifera,Demospongiae,Ceractinormorpha,Spongillidae,Spongilla,lacustris,,porifera
126,119,Animalia,Porifera,Demospongiae,Ceractinormorpha,nf,Ephydatia,muelleri,,porifera
127,120,Animalia,Porifera,Demospongiae,nf,nf,Corvomyenia,everetti,,porifera
128,121,Animalia,Arthropdoa,Hydracarina,nf,nf,nf,nf,,arthropod
131,122,Proctoctista, , , , ,Bambusina,nf,,filamentous algae
132,123,Proctoctista,Rhodophyta,Rhodophyceae,Nemalionales,Batrachospermaceae,Batrachospermum,nf,,filamentous algae
133,124,Proctoctista,Chlorophyta,Chlorophyceae,Ulotrichales,Ulotrichaceae,Binuclearia,nf,,filamentous algae
134,125,Proctoctista,Chlorophyta,Chlorophyceae,Oedogoniales,Oedogoniaceae,Bulbochaete,nf,,filamentous algae
135,126,Proctoctista, , , , ,Desmidium,nf,,filamentous algae
136,127,Proctoctista,Chlorophyta,Chlorophyceae,Ulotrichales,Ulotrichaceae,Geminella,nf,,filamentous algae
137,128,Proctoctista,Cyanophyta,Myxophyceae,Homogonales,Stigonemataceae,Groenbladia,nf,,filamentous algae
138,129,Proctoctista,Cyanophyta,Myxophyceae,Homogonales,Stigonemataceae,Hapalosiphon,nf,,filamentous algae
139,130,Proctoctista, , , , ,Hyalotheca,nf,,filamentous algae
140,131,Proctoctista,Cyanophyta,Myxophyceae,Hormogonales,Oscillatoriaceae,Lyngbya,nf,,filamentous algae
141,132,Proctoctista,Cyanophyta,Myxophyceae,Hormogonales,Scytonemataceae,Microchaete,nf,,filamentous algae
142,133,Proctoctista,Cyanophyta,Myxophyceae,Hormogonales,Oscillatoriaceae,Microcoleus,nf,,filamentous algae
143,134,Proctoctista,Cyanophyta,Chlorophyceae,Zygnematales,Zygnemataceae,Mougeotia,nf,,filamentous algae
144,135,Proctoctista,Cyanophyta,Chlorophyceae,Oedogoniales,Oedogoniaceae,Oedogonium,nf,,filamentous algae
145,136,Proctoctista,Cyanophyta,Myxophyceae,Hormogonales,Oscillatoriaceae,Oscillatoria,nf,,filamentous algae
146,137,Proctoctista,Cyanophyta,Myxophyceae,Hormogonales,Oscillatoriaceae,Phormidium,nf,,filamentous algae
147,138,Proctoctista,Cyanophyta,Myxophyceae,Hormogonales,Scytonemataceae,Plectonema,nf,,filamentous algae
148,139,Proctoctista,Cyanophyta,Chlorophyceae,Ulotrichales,Ulotrichaceae,Radiofilum,nf,,filamentous algae
149,140,Proctoctista,Cyanophyta,Chlorophyceae,Cladophorales,Cladophoraceae,Rhizoclonium,nf,,filamentous algae
150,141,Proctoctista,Cyanophyta,Myxophyceae,Hormogonales,Oscillatoriaceae,Schizothrix,nf,,filamentous algae
151,142,Proctoctista,Cyanophyta,Myxophyceae,Hormogonales,Scytonemataceae,Scytonema,nf,,filamentous algae
152,143,Proctoctista, , , , ,Sphaerozosma,nf,,filamentous algae
153,144,Proctoctista,Chlorophyta,Chlorophyceae,Zygnematales,Zygnemataceae,Spirogyra,nf,,filamentous algae
154,145,Proctoctista,Chrsophyta,Xanthophyceae,Heterotrichales,Tribonemataceae,Tribonema,nf,,filamentous algae
155,146,Proctoctista,Chlorophyta,Chlorophyceae,Zygnematales,Zygnemataceae,Zygnema,nf,,cyanobacteria
158,147,Proctoctista,Cyanophyta,Myxophyceae,Chroococcales,Chroococcaceae,Chroococcus,nf,,cyanobacteria
159,148,Proctoctista,Cyanophyta,Myxophyceae,Chroococcales,Chroococcaceae,Gloeothece,nf,,cyanobacteria
160,149,Proctoctista,Cyanophyta,Myxophyceae,Chroococcales,Chroococcaceae,Merismopedia,nf,,cyanobacteria
161,150,Monera,Eubacteria,,,,Aphanocapsa,nf,,cyanobacteria
162,151,Monera,Eubacteria,,,,Gomphosphaeria,nf,,cyanobacteria
163,152,Monera,Eubacteria,,,,Coelosphaerium,nf,,cyanobacteria
164,153,Monera,Eubacteria,,,,Rhabdoderma,nf,,cyanobacteria
165,154,Monera,Eubacteria,,,,Aphanothece,nf,,cyanobacteria
166,155,Monera,Eubacteria,,,,Anabaena,nf,,cyanobacteria
167,156,Protoctista,,,,,Arthrodesmus,nf,,green algae
168,157,Protoctista,,,,,Cosmarium,nf,,green algae
169,158,Protoctista,,,,,Crucigenia,nf,,green algae
170,159,Protoctista,,,,,Euastrum,nf,,green algae
171,160,Protoctista,,,,,Oocystis,nf,,green algae
172,161,Protoctista,,,,,Pediastrum,nf,,green algae
173,162,Protoctista,,,,,Quadrigula,nf,,green algae
174,163,Protoctista,,,,,Schroederia,nf,,green algae
175,164,Protoctista,,,,,Spondylosium,nf,,green algae
176,165,Protoctista,,,,,Stauastrum,nf,,green algae
177,166,Protoctista,,,,,Tetraedron,nf,,green algae
178,167,Protoctista,,,,,Ankistrodesmus,nf,,green algae
179,168,Protoctista,,,,,Xanthidium,nf,,green algae
180,169,Protoctista,,,,,Elaktothrix,nf,,green algae
181,170,Protoctista,,,,,Scenedesmus,nf,,green algae
182,171,Protoctista,Sarcomastigophora,Phytomastigophora,Euglenida,nf,Phacus,nf,,euglenophyta
183,172,Protoctista,Sarcomastigophora,Phytomastigophora,Euglenida,nf,Trachelomonas,nf,,euglenophyta
186,173,Protoctista,nf,nf,nf,nf,Chroomonas,nf,,cryptophyta
187,174,Protoctista,nf,nf,nf,nf,Cryptomonas,nf,,cryptophyta
188,175,Protoctista,Chlorophyta,Chrysophyceae,nf,nf,Asterionella,nf,,chrysophyceae
189,176,Protoctista,Chlorophyta,Chrysophyceae,nf,nf,Dinobryon,nf,,chrysophyceae
190,177,Protoctista,Chlorophyta,Chrysophyceae,Chrysomonadales,Mallomonadaceae,Mallomonas,nf,,chrysophyceae
191,178,Protoctista,Chlorophyta,Chrysophyceae,nf,nf,Synedra,nf,,chrysophyceae
192,179,Protoctista,Chlorophyta,Chrysophyceae,Chrysomonadales,Synuraceae,Synura,nf,,chrysophyceae
193,180,Protoctista,Chlorophyta,Chrysophyceae,nf,nf,Tabellaria,nf,,chrysophyceae
200,181,,,,,,,,,fine organic matter
