fish_id,food_item,number_indiv
940774,"VERTE",3
940775,"OTHER",40
940775,"CHIRO",1
940775,"COLEO",2
940775,"ODONA",3
940775,"TRICH",2
940053,"LEECH",1
940054,"OTHER",2
940055,"TRICH",12
940057,"CHIRO",1
940057,"DACES",1
940058,"ODONN",1
940151,"BASSF",4
940154,"CHIRO",28
940155,"BASSF",3
940158,"BASSF",3
940160,"EPHEM",1
940161,"EPHEM",1
940164,"MITES",1
940197,"AMPHI",1
940199,"OTHER",5
940199,"BASSF",2
940202,"COLEO",2
940202,"LEECH",1
940204,"TRICH",1
940207,"OTHER",40
940236,"TRICH",5
940237,"CHIRO",6
940237,"TRICH",17
940240,"TRICH",1
940243,"EPHEM",2
940243,"CHIRO",25
940271,"ODONN",1
940272,"POLYP",12
940273,"OTHER",2
940274,"ODONN",1
940275,"COLEO",1
940277,"CHIRO",37
940308,"CHAOB",9
940309,"CHAOB",2
940310,"CHAOB",8
940311,"CHIRO",4
940312,"AMPHI",1
940312,"LEECH",1
940345,"CHIRO",3
940345,"TRICH",6
940348,"ODONN",2
940350,"NOTON",2
940351,"TRICH",2
940352,"CHIRO",1
940380,"CHIRO",9
940380,"LEECH",4
940383,"CHAOB",1
940383,"BASSF",2
940384,"TRICH",1
940387,"POLYP",2
940667,"DAPHN",149
940667,"TRICH",2
940672,"LEECH",1
940674,"TRICH",1
940677,"CHAOB",32
940680,"OTHER",1
940681,"AMPHI",22
940683,"EPHEM",1
940703,"MITES",1
940705,"BASSF",1
940706,"MITES",42
940707,"BASSF",3
940710,"MITES",1
940711,"OTHER",1
940712,"OTHER",1
940743,"CHIRO",1
940746,"DAPHN",3
940748,"EPHEM",2
940750,"BASSF",1
940752,"ODONN",1
940753,"CHIRO",1
912481,"CHAOB",1
912481,"CHIRO",15
912481,"COLEO",4
912481,"ODONN",6
912544,"CHIRO",1
912544,"ODONN",4
912544,"TRICH",4
912324,"DAPHN",5
912324,"CHAOB",3
912324,"CHIRO",1
912324,"COLEO",3
912324,"TRICH",1
912324,"BASSF",1
912238,"DAPHN",13
912238,"CHAOB",5
912238,"CHIRO",81
912238,"ODONN",1
912248,"DAPHN",18
912248,"CHAOB",17
912248,"CHIRO",146
912133,"DAPHN",45
912133,"CHAOB",33
912133,"CHIRO",17
912133,"TRICH",1
911950,"EPHEM",1
911950,"CHAOB",4
911950,"CHIRO",7
911950,"ODONN",3
911950,"TRICH",7
912171,"DAPHN",11
912171,"CHAOB",6
912171,"OTHER",1
912171,"CHIRO",62
912515,"CHAOB",1
912515,"COLEO",7
912515,"ODONN",9
912445,"CHAOB",1
912445,"MITES",2
912445,"BASSF",1
912578,"DAPHN",1
912578,"CHIRO",1
912578,"BASSF",25
912511,"POLYP",1
912511,"DAPHN",3
912511,"CHAOB",1
912511,"CHIRO",1
912538,"ODONN",2
912538,"ODONA",1
912538,"BASSF",1
912088,"CHIRO",3
911922,"DAPHN",133
911922,"CHAOB",20
911922,"CHIRO",86
911854,"DAPHN",4
911854,"CHAOB",1
911854,"AMPHI",1
911854,"BASSF",1
911983,"DAPHN",48
911983,"CHAOB",66
911983,"CHIRO",3
911983,"ODONN",1
912397,"CHAOB",1
912397,"CHIRO",1
912397,"ODONN",1
912397,"TRICH",2
912482,"CHAOB",1
912482,"CHIRO",1
912482,"ODONN",14
911975,"DAPHN",3
911975,"CHAOB",2
911975,"OTHER",11
911975,"CHIRO",9
911975,"COLEO",21
911975,"TRICH",2
912138,"CHAOB",1
912607,"CHIRO",3
912607,"ODONA",1
912607,"TRICH",1
912566,"DAPHN",1
912566,"TRICH",2
912347,"DAPHN",620
912347,"EPHEM",1
912347,"CHAOB",6
912347,"CHIRO",3
912296,"CHAOB",1
912296,"CHIRO",3
912296,"COLEO",2
912296,"ODONN",3
912296,"ODONA",1
912296,"BASSF",1
912366,"DAPHN",2
912559,"MITES",4
912559,"CHIRO",2
912559,"COLEO",1
912559,"ODONN",1
912559,"ODONA",1
912206,"CHAOB",1
912206,"CHIRO",2
912206,"COLEO",3
912206,"ODONN",1
911856,"DAPHN",25
911856,"CHAOB",8
911856,"CHIRO",162
911856,"ODONN",3
911856,"TRICH",2
912369,"DAPHN",4
912369,"CHAOB",1
912369,"CHIRO",9
912369,"BASSF",5
911401,"DAPHN",557
911401,"EPHEM",1
911401,"CHAOB",8
911401,"MITES",14
911401,"CHIRO",311
911401,"COLEO",2
911401,"TRICH",1
912539,"MITES",1
912539,"CHIRO",2
912539,"COLEO",2
912539,"ODONN",4
912539,"ODONA",1
912274,"MITES",1
912274,"CHIRO",6
912274,"ODONN",2
912274,"TRICH",1
912474,"DAPHN",1
912474,"CHIRO",2
912474,"COLEO",2
912474,"ODONN",4
912474,"TRICH",2
912474,"BASSF",1
912508,"DAPHN",2
912508,"CHIRO",9
912508,"ODONN",4
912070,"CHIRO",1
912070,"COLEO",2
912070,"ODONN",8
912317,"CHIRO",1
912317,"ODONN",7
912317,"TRICH",1
912317,"BASSF",1
911787,"DAPHN",23
911787,"CHAOB",23
911787,"CHIRO",94
911787,"ODONN",4
911787,"MOLLU",1
911842,"DAPHN",11
911842,"CHIRO",12
911842,"ODONN",8
911842,"TRICH",1
912225,"CHAOB",3
912225,"BASSF",2
912234,"DAPHN",6
912234,"CHIRO",1
912234,"ODONN",3
912234,"TRICH",1
912297,"CHAOB",1
912297,"COLEO",1
912297,"ODONN",32
912297,"TRICH",3
912232,"CHIRO",1
912232,"BASSF",6
912427,"ODONA",2
912427,"TRICH",1
912427,"BASSF",1
912434,"CHAOB",1
912434,"AMPHI",1
912434,"COLEO",2
912434,"ODONN",1
912434,"TRICH",2
912434,"CRATF",1
911933,"DAPHN",2
911933,"COLEO",1
911933,"ODONA",1
911933,"BASSF",1
911997,"EPHEM",3
911997,"CHIRO",3
911997,"ODONN",11
911997,"TRICH",2
911998,"DAPHN",1
911998,"CHAOB",2
911998,"CHIRO",31
911998,"COLEO",1
911998,"TRICH",169
912086,"CHAOB",3
912086,"CHIRO",4
912086,"COLEO",3
912086,"ODONN",1
912156,"OTHER",1
912200,"DAPHN",9
912200,"CHAOB",5
912200,"OTHER",3
912200,"CHIRO",7
912200,"COLEO",1
912200,"NOTON",1
912272,"EPHEM",1
912272,"OTHER",7
912272,"CHIRO",10
912272,"COLEO",3
912351,"DAPHN",1
912351,"ODONA",1
912351,"BASSF",25
912262,"CHAOB",1
912262,"MITES",45
912262,"CHIRO",1
912262,"ODONN",2
912262,"TRICH",3
912436,"OTHER",1
912436,"CHIRO",2
912436,"BASSF",3
912597,"DAPHN",1
912597,"MITES",1
912597,"AMPHI",1
912597,"CHIRO",4
912597,"COLEO",8
912597,"ODONN",2
912597,"BASSF",1
912597,"BASSY",1
912613,"CHAOB",2
912613,"TRICH",1
912613,"BASSF",5
911543,"DAPHN",1
911543,"CHAOB",5
911543,"CHIRO",1
911543,"COLEO",2
911543,"ODONN",4
911543,"TRICH",1
911763,"DAPHN",56
911763,"CHAOB",37
911763,"CHIRO",17
911763,"ODONN",1
912704,"CHIRO",1
912706,"ODONA",3
912706,"BASSF",1
912370,"CHAOB",3
912370,"CHIRO",4
912370,"ODONN",1
912370,"BASSF",8
912568,"CHIRO",3
912568,"COLEO",7
912568,"ODONN",1
912568,"TRICH",1
912568,"NOTON",1
912791,"POLYP",7
912791,"COLEO",1
912791,"ODONA",1
912791,"BASSF",2
912405,"DAPHN",10
912405,"CHAOB",119
912405,"CHIRO",66
912405,"ODONN",1
912773,"CHAOB",4
912773,"COLEO",1
912507,"EPHEM",6
912507,"CHIRO",2
912507,"ODONN",6
912507,"TRICH",1
912527,"DAPHN",3
912527,"CHAOB",5
912527,"CHIRO",8
912527,"COLEO",6
912527,"ODONN",6
912852,"ODONA",1
912655,"OTHER",1
912655,"ODONA",1
912655,"NOTON",1
912720,"TRICH",1
912623,"COLEO",1
912623,"ODONN",3
912429,"OTHER",2
912599,"CHAOB",5
912101,"CHIRO",2
912101,"ODONN",9
912101,"TRICH",7
912834,"CHIRO",4
912834,"ODONA",1
912872,"DAPHN",11
912872,"CHAOB",1
912872,"ODONN",1
912872,"ODONA",1
912872,"BASSF",2
912831,"DAPHN",3
912831,"CHIRO",4
912598,"DAPHN",1
912598,"CHIRO",2
912598,"ODONN",3
912598,"BASSF",1
912679,"DAPHN",1
912679,"EPHEM",1
912695,"CHAOB",2
912695,"BASSF",5
912798,"ODONN",1
912798,"ODONA",1
912809,"CHIRO",3
912809,"ODONN",5
912809,"ODONA",2
912749,"DAPHN",1
912749,"CHAOB",1
912749,"ODONN",3
911828,"POLYP",1
911828,"CHAOB",1
911828,"CHIRO",1
911828,"COLEO",1
911828,"BASSF",2
912795,"AMPHI",2
912795,"CHIRO",1
912795,"ODONN",13
912806,"ODONA",1
912806,"BASSF",3
912813,"CHAOB",4
912813,"AMPHI",2
912813,"CHIRO",1
912813,"ODONN",3
912814,"DAPHN",7
912814,"CHAOB",185
912814,"CHIRO",1
912814,"ODONN",1
912814,"BASSF",1
912343,"DAPHN",1
912343,"CHAOB",8
912343,"AMPHI",1
912343,"OTHER",1
912343,"ODONN",3
912343,"BASSF",1
912846,"CHAOB",2
912846,"OTHER",1
912846,"CHIRO",1
912864,"ODONA",1
912869,"CHAOB",1
912869,"OTHER",1
912869,"ODONN",1
912665,"CHAOB",1
912665,"CRATF",2
912649,"DAPHN",1
912723,"DAPHN",1
912723,"OTHER",1
912723,"CHIRO",1
912723,"COLEO",1
912723,"ODONN",2
912723,"CRATF",1
912610,"DAPHN",69
912610,"TRICH",1
912719,"ODONA",3
912719,"TRICH",1
912719,"BASSF",2
912850,"ODONA",1
912710,"DAPHN",2
912710,"CHAOB",1
912710,"CHIRO",13
912710,"COLEO",1
912710,"ODONN",3
912710,"TRICH",4
912710,"BASSF",1
912407,"DAPHN",2
912407,"CHIRO",8
912407,"ODONN",3
912407,"TRICH",3
912384,"POLYP",1
912384,"DAPHN",2
912384,"CHAOB",1
912384,"CHIRO",1
912186,"CHIRO",1
912186,"COLEO",4
912186,"ODONN",4
912186,"TRICH",3
912670,"AMPHI",1
912670,"CHIRO",2
912670,"ODONN",6
912670,"ODONA",1
912196,"DAPHN",1
912196,"CHIRO",1
912196,"TRICH",16
911795,"COLEO",1
911795,"ODONN",1
911795,"TRICH",3
912781,"DAPHN",6
912781,"CHAOB",8
912781,"ODONN",1
912784,"DAPHN",2
912784,"CHAOB",1
912784,"CHIRO",4
912784,"ODONN",1
912733,"DAPHN",6
912733,"CHAOB",2
911813,"CHAOB",1
911813,"CHIRO",2
911813,"ODONA",1
911813,"TRICH",1
911813,"NOTON",1
911813,"BASSF",3
911976,"DAPHN",1
911976,"MITES",57
911976,"OTHER",16
911976,"COLEO",6
912055,"DAPHN",2
912055,"COLEO",1
912055,"ODONN",1
912055,"ODONA",1
911634,"CHAOB",2
911634,"CHIRO",3
911634,"TRICH",2
911634,"BASSF",1
911725,"DAPHN",1
911725,"CHIRO",15
911725,"BASSF",62
911875,"DAPHN",2
911875,"CHAOB",2
911875,"CHIRO",4
911875,"BASSF",2
911903,"CHIRO",4
911903,"ODONN",54
911940,"CHAOB",119
911940,"CHIRO",8
911940,"ODONN",2
911593,"CHAOB",104
911593,"OTHER",1
911593,"CHIRO",68
911593,"COLEO",2
912703,"CHAOB",1
912703,"CHIRO",6
912703,"COLEO",1
912703,"ODONN",1
911163,"POLYP",1
911163,"DAPHN",19
911163,"CHAOB",4
911163,"OTHER",3
911163,"CHIRO",12
911163,"BASSF",2
911816,"DAPHN",1
911816,"ODONN",1
912367,"DAPHN",1
912367,"CHAOB",38
912367,"OTHER",2
912367,"CHIRO",1
912367,"ODONA",1
912367,"TRICH",1
912465,"CHAOB",2
912465,"COLEO",1
912465,"BASSF",5
912147,"ODONN",1
912147,"ODONA",1
912713,"CHAOB",1
912713,"COLEO",2
912713,"TRICH",2
912713,"BASSF",9
912037,"CHIRO",3
912037,"COLEO",1
912037,"BASSF",1
912558,"DAPHN",11
912558,"CHAOB",87
912558,"CHIRO",3
912558,"BASSF",4
912120,"DAPHN",17
912120,"CHAOB",17
912120,"TRICH",1
911739,"ODONA",2
911739,"BASSF",1
912334,"DAPHN",1
912334,"CHAOB",1
912334,"BASSF",14
911716,"CHIRO",3
911716,"ODONN",1
911716,"TRICH",1
912113,"DAPHN",2
912113,"COLEO",1
912113,"ODONN",2
912387,"DAPHN",2
912387,"CHAOB",2
912387,"CHIRO",104
912387,"TRICH",1
912387,"BASSF",1
911793,"OTHER",3
911793,"CHIRO",1
911793,"COLEO",2
911974,"CHAOB",2
911974,"MITES",1
911974,"OTHER",1
911974,"BASSF",1
912389,"DAPHN",7
912389,"CHIRO",4
912678,"COLEO",1
912678,"ODONN",10
912678,"ODONA",1
912680,"CHAOB",1
912680,"COLEO",1
912680,"ODONN",3
912680,"TRICH",1
912680,"VERTE",1
911630,"CHAOB",1
911630,"CHIRO",1
911630,"BASSF",22
911601,"CHAOB",3
911601,"CHIRO",6
911601,"ODONN",1
911601,"BASSF",1
911742,"CHAOB",1
911742,"CHIRO",16
911742,"COLEO",3
911742,"ODONN",57
911761,"DAPHN",5
911761,"CHAOB",3
911761,"CHIRO",5
911761,"COLEO",1
911761,"ODONN",4
911618,"CHAOB",3
911618,"CHIRO",6
911618,"ODONN",3
912154,"DAPHN",1
912154,"OTHER",1
912154,"CHIRO",2
912423,"DAPHN",6
912423,"CHAOB",9
912423,"CHIRO",1
912423,"COLEO",1
912423,"ODONN",2
912423,"ODONA",1
912214,"DAPHN",1
912214,"EPHEM",1
912214,"CHAOB",2
912214,"OTHER",1
912415,"DAPHN",388
912415,"CHAOB",52
912415,"MITES",3
912415,"OTHER",2
912415,"CHIRO",11
912415,"ODONN",4
912758,"DAPHN",3
912758,"CHIRO",1
912224,"DAPHN",1
912224,"CHIRO",1
912224,"COLEO",1
912175,"CHAOB",4
912175,"OTHER",1
912619,"CHAOB",4
912619,"ODONA",1
912619,"BASSF",1
911656,"CHAOB",10
911656,"OTHER",3
911656,"CHIRO",4
912252,"DAPHN",3
912252,"MOLLU",1
911886,"CHAOB",8
911886,"CHIRO",3
912119,"AMPHI",8
912119,"CHIRO",2
912119,"ODONN",11
912401,"CHAOB",3
912401,"MITES",1
912401,"AMPHI",4
912401,"OTHER",1
912401,"CHIRO",9
912401,"ODONN",2
911915,"CHAOB",7
911915,"COLEO",1
912098,"CHAOB",11
912098,"CHIRO",2
912098,"ODONN",12
912184,"DAPHN",18
912184,"CHAOB",18
912184,"CHIRO",4
912184,"ODONN",1
912364,"ODONN",2
912364,"ODONA",1
912396,"CHAOB",1
912396,"COLEO",1
912396,"ODONN",1
912396,"ODONA",2
912396,"BASSF",1
912454,"CHAOB",1
912454,"OTHER",1
912454,"CHIRO",1
912454,"NOTON",1
912454,"BASSF",15
911266,"DAPHN",1
911266,"CHAOB",8
911266,"NOTON",1
911908,"CHAOB",79
911908,"CHIRO",25
911908,"COLEO",1
912267,"CHAOB",9
912267,"OTHER",1
912267,"ODONN",2
911815,"OTHER",1
911815,"CHIRO",3
911815,"COLEO",1
911851,"DAPHN",1
911851,"BASSF",1
912017,"OTHER",2
912017,"CHIRO",2
912017,"COLEO",2
912017,"BASSF",1
912017,"BASSY",1
912132,"CHIRO",2
912132,"COLEO",1
912132,"ODONN",7
912132,"ODONA",1
911741,"COLEO",1
911741,"ODONN",2
911741,"ODONA",2
911561,"CHIRO",13
912019,"MITES",1
912019,"CHIRO",2
912019,"ODONN",2
912019,"BASSF",1
912083,"CHIRO",1
912083,"BASSF",1
912146,"OTHER",1
911532,"DAPHN",15
911532,"ODONA",1
911532,"BASSF",4
911357,"DAPHN",1
911357,"AMPHI",6
911357,"CHIRO",1
911901,"DAPHN",1
911901,"CHIRO",1
911988,"DAPHN",2
911988,"CHAOB",7
911700,"CHIRO",1
911700,"ODONN",1
911700,"NOTON",1
911277,"DAPHN",1
911277,"EPHEM",1
911277,"CHAOB",11
911277,"CHIRO",6
912247,"CHAOB",11
912247,"MITES",101
912247,"CHIRO",28
912247,"COLEO",1
912247,"ODONN",2
911899,"DAPHN",3
911899,"MITES",1
911899,"CHIRO",1
911899,"ODONA",1
911834,"CHAOB",1
911834,"ODONA",1
911272,"CHAOB",1
911272,"CHIRO",11
911272,"ODONN",28
911272,"TRICH",2
912071,"DAPHN",2
912071,"CHAOB",30
912071,"MITES",3
912071,"OTHER",3
912071,"ODONN",2
912110,"MITES",2
912110,"CHIRO",1
912110,"COLEO",2
912110,"ODONN",6
912110,"ODONA",4
912110,"TRICH",1
912110,"BASSF",1
911402,"CHIRO",1
911402,"COLEO",3
911402,"ODONN",9
911402,"TRICH",2
911737,"CHAOB",1
911737,"AMPHI",2
911737,"CHIRO",1
911737,"ODONN",6
911737,"TRICH",1
912040,"DAPHN",12
912040,"CHAOB",3
912040,"CHIRO",10
912040,"COLEO",1
912040,"ODONN",14
911684,"DAPHN",1
911684,"BASSF",4
912104,"COLEO",1
912104,"NOTON",1
911375,"DAPHN",4
911375,"EPHEM",1
911375,"CHIRO",137
911375,"COLEO",1
911375,"ODONN",8
911735,"CHAOB",12
911735,"ODONN",1
911735,"BASSF",6
912836,"DAPHN",1
912836,"CHAOB",2
912836,"CHIRO",16
912836,"ODONA",1
912842,"DAPHN",2
912842,"OTHER",1
912842,"COLEO",2
912842,"ODONN",1
912842,"BASSF",2
912843,"POLYP",1
912843,"BASSF",5
912843,"BASSY",1
912855,"CHAOB",2
912855,"OTHER",3
912855,"CHIRO",2
912855,"ODONN",1
912855,"TRICH",1
912027,"DAPHN",1
912027,"CHAOB",1
912027,"OTHER",1
912027,"ODONA",1
912027,"BASSF",8
912092,"CHAOB",8
912092,"CHIRO",2
912092,"COLEO",3
912092,"BASSF",1
912094,"MITES",1
912094,"CHIRO",2
912094,"COLEO",2
911780,"DAPHN",7
911780,"MITES",1
911780,"CHIRO",2
911780,"ODONN",2
911780,"TRICH",1
911780,"VERTE",1
911907,"DAPHN",1
911907,"ODONA",1
911907,"BASSF",1
912152,"CHAOB",1
912152,"MITES",4
912152,"OTHER",2
912152,"CHIRO",1
912152,"COLEO",1
912152,"ODONN",1
912583,"ODONA",3
912658,"ODONA",29
912054,"DAPHN",1
912054,"CHAOB",1
912054,"CHIRO",2
912054,"COLEO",2
912054,"ODONA",1
912054,"BASSF",12
911059,"DAPHN",109
911059,"CHIRO",30
911059,"OFISH",1
911699,"OTHER",2
911699,"COLEO",1
911699,"BASSF",1
911046,"CHIRO",37
911268,"DAPHN",6
911268,"CHAOB",15
911268,"MITES",8
911268,"CHIRO",19
911268,"BASSF",1
911269,"DAPHN",2
911269,"CHAOB",4
911269,"CHIRO",5
911269,"COLEO",2
911269,"BASSF",1
911373,"MITES",33
911373,"ODONN",1
911298,"CHIRO",3
911552,"CHAOB",49
911552,"CHIRO",7
911552,"COLEO",2
911592,"DAPHN",1
911592,"CHAOB",2
911592,"CHIRO",22
911592,"COLEO",2
911592,"BASSF",1
911335,"DAPHN",3
911335,"CHAOB",1
911335,"CHIRO",1
911335,"BASSF",2
911581,"DAPHN",5
911581,"OTHER",1
911946,"ODONA",1
911550,"MITES",1
911550,"CHIRO",6
911550,"COLEO",1
911550,"ODONN",1
911550,"BASSF",1
911560,"DAPHN",1
911560,"OTHER",1
911560,"CHIRO",7
911560,"BASSF",43
911639,"CHAOB",2
911639,"CHIRO",10
911639,"COLEO",3
911432,"POLYP",1
911432,"EPHEM",1
911432,"OTHER",5
911432,"CHIRO",20
911432,"ODONN",1
911432,"BASSF",5
911594,"DAPHN",1
911594,"CHAOB",1
911594,"OTHER",4
911594,"CHIRO",3
911594,"COLEO",1
911594,"ODONN",3
911594,"NOTON",2
911677,"DAPHN",2
911677,"CHIRO",1
911677,"COLEO",10
911677,"TRICH",2
911677,"BASSF",1
911728,"DAPHN",1
911728,"CHAOB",1
911728,"CHIRO",16
911728,"ODONN",1
911728,"BASSF",12
912215,"DAPHN",2
912215,"MITES",1
912215,"OTHER",1
912215,"ODONN",1
912215,"CRATF",1
912018,"DAPHN",1
912018,"CHAOB",3
912018,"BASSF",1
911358,"POLYP",1
911358,"DAPHN",38
911358,"OTHER",1
911358,"CHIRO",28
911358,"TRICH",1
911529,"DAPHN",119
911529,"CHAOB",295
911529,"CHIRO",26
911529,"COLEO",5
911708,"CHAOB",4
911708,"OTHER",2
911708,"CHIRO",2
911708,"ODONN",1
912414,"CHAOB",9
912414,"OTHER",1
912414,"ODONA",1
912443,"DAPHN",64
912443,"CHAOB",4
912443,"MITES",4
912443,"OTHER",1
912443,"CHIRO",2
912443,"COLEO",1
912443,"ODONN",2
912443,"ODONA",1
912443,"MOLLU",1
912572,"POLYP",4
912572,"BASSF",1
912021,"CHAOB",1
912021,"CHIRO",2
912263,"POLYP",9
912263,"MITES",2
940001,"MEGAL",2
940001,"OTHER",1
940001,"COLEO",5
940001,"ODONN",2
940001,"TRICH",8
940001,"MOLLU",1
940001,"LEECH",2
940025,"CHAOB",24
940025,"AMPHI",1
940027,"CHAOB",2
940027,"OTHER",1
940027,"ODONN",1
940028,"EPHEM",1
940030,"EPHEM",1
940030,"CHAOB",10
940030,"CHIRO",1
940032,"POLYP",2
940032,"CHAOB",8
940032,"OTHER",1
940033,"CHAOB",3
940034,"CHAOB",90
940034,"AMPHI",1
940034,"LEECH",1
940041,"OTHER",2
940041,"CHIRO",1
940041,"COLEO",2
940041,"ODONN",2
940041,"LEECH",2
940041,"OFISH",1
940042,"OTHER",2
940042,"COLEO",1
940042,"ODONN",2
940043,"OTHER",1
940043,"ODONA",1
940043,"LEECH",1
940043,"VERTE",2
940044,"MEGAL",4
940044,"OTHER",25
940044,"CHIRO",3
940044,"COLEO",75
940044,"ODONN",2
940044,"TRICH",43
940044,"LEECH",5
940045,"OTHER",61
940045,"TRICH",41
940045,"LEECH",3
940046,"OTHER",8
940046,"CHIRO",1
940046,"COLEO",1
940046,"ODONN",3
940046,"LEECH",1
940047,"OTHER",1
940047,"COLEO",9
940047,"ODONN",1
940048,"CHIRO",1
940048,"LEECH",1
940049,"CHIRO",2
940049,"ODONN",29
940049,"TRICH",7
940049,"LEECH",1
940050,"DAPHN",17
940050,"CHIRO",3
940050,"LEECH",2
940051,"OTHER",3
940051,"COLEO",1
940051,"ODONN",1
940051,"MOLLU",1
940051,"LEECH",5
940053,"DAPHN",4
940053,"ODONN",2
940054,"POLYP",6
940054,"DAPHN",6
940054,"LEECH",4
940055,"OTHER",4
940055,"ODONN",7
940056,"OTHER",2
940056,"ODONN",6
940056,"LEECH",4
940057,"COLEO",2
940057,"LEECH",6
940058,"AMPHI",1
940058,"OTHER",1
