lakeid,year4,daynum,sampledate,sta,nsnow,avsnow,sdsnow,wlevel,totice,nice,whiteice,blueice
"LR",1995,81,1995-03-22,2,,2.400,,1.000,32.500,,2.500,30.000
"LR",1996,39,1996-02-08,1,,16.800,,1.000,49.000,,36.000,13.000
"LR",1996,39,1996-02-08,2,,20.200,,0.000,51.000,,38.000,13.000
"LR",1996,57,1996-02-26,1,,14.600,,0.000,50.000,,38.000,12.000
"LR",1996,57,1996-02-26,2,,15.600,,0.000,50.000,,42.000,8.000
"LR",1996,94,1996-04-03,1,,24.500,,-2.000,57.000,,48.000,9.000
"LR",1996,94,1996-04-03,2,,28.700,,-3.000,60.000,,51.000,9.000
"LR",1997,29,1997-01-29,1,,31.500,,-10.000,41.000,,41.000,0.000
"LR",1997,29,1997-01-29,2,,28.400,,0.000,45.000,,30.000,15.000
"LR",1997,56,1997-02-25,1,,9.500,,4.000,58.000,,43.000,15.000
"LR",1997,56,1997-02-25,2,,8.300,,5.000,37.000,,29.000,8.000
"LR",1998,21,1998-01-21,1,,25.500,,-4.000,27.000,,8.000,19.000
"LR",1998,21,1998-01-21,2,,29.800,,-6.000,23.000,,2.000,21.000
"LR",1998,56,1998-02-25,1,,0.000,,2.000,37.000,,14.000,23.000
"LR",1998,56,1998-02-25,2,,0.000,,0.000,33.000,,17.000,16.000
"LR",1998,76,1998-03-17,1,,9.900,,2.000,34.000,,19.000,15.000
"LR",1998,76,1998-03-17,2,,9.600,,1.000,31.000,,17.000,14.000
"LR",1999,25,1999-01-25,1,,31.000,,-5.000,29.000,,9.000,20.000
"LR",1999,25,1999-01-25,2,,25.900,,-2.000,27.000,,13.000,14.000
"LR",1999,60,1999-03-01,1,,6.700,,0.000,39.000,,27.000,12.000
"LR",1999,60,1999-03-01,2,,2.700,,2.000,40.000,,24.000,16.000
"LR",1999,81,1999-03-22,1,,1.400,,4.000,46.000,,29.000,17.000
"LR",1999,81,1999-03-22,2,,0.900,,4.000,47.000,,29.000,18.000
