lakeid,lakename,year4,daynum,sampledate,old_taxon_code,standard_taxon_code,group_code,taxon_name,net_efficiency,number_per_net,vol_haul,density,mean_length,mean_individ_biomass,total_biomass
"E","East Long Lake",1992,153,1992-06-01,"CCOL","CCOL","ROT","colonial Conochilus sp.",0.263,910.5,848,4.083,0.145,2.910,11.880
"E","East Long Lake",1992,153,1992-06-01,"DROS","DROS","CLAD","Daphnia rosea",0.123,0.5,848,0.005,1.126,9.644,0.046
"E","East Long Lake",1992,153,1992-06-01,"CDAP","CDAP","CLAD","Ceriodaphnia",0.363,10.0,848,0.032,0.563,1.464,0.048
"E","East Long Lake",1992,153,1992-06-01,"BOS","BOS","CLAD","Bosmina longirostris",0.143,703.0,848,5.797,0.344,1.009,5.849
"E","East Long Lake",1992,153,1992-06-01,"MESO","MESO","CCOP","Mesocyclops edax",0.092,10.0,848,0.128,1.447,22.803,2.923
"E","East Long Lake",1992,153,1992-06-01,"ORTH","ORTH","OCOP","Orthocyclops modestus",0.092,39.5,848,0.506,0.876,5.589,2.830
"E","East Long Lake",1992,153,1992-06-01,"COPD","COPD","OCOP","Copepodite",0.168,247.5,848,1.737,0.281,0.307,0.534
"E","East Long Lake",1992,153,1992-06-01,"NAUP","NAUP","OCOP","Nauplii",0.112,455.5,848,4.796,0.123,0.751,3.604
"E","East Long Lake",1992,153,1992-06-01,"KCOCH","KCOCH","ROT","Keratella cochlearis",0.102,366.5,848,4.237,0.120,0.003,0.015
"E","East Long Lake",1992,153,1992-06-01,"KTEST","KTEST","ROT","Keratella testudo",0.102,79.0,848,0.913,0.130,0.004,0.004
"E","East Long Lake",1992,153,1992-06-01,"KTAU","KTAU","ROT","Keratella taurocephala",0.102,297.0,848,3.434,0.121,0.004,0.012
"E","East Long Lake",1992,153,1992-06-01,"PVULG","PVULG","ROT","Polyarthra vulgaris",0.073,940.5,848,15.193,0.140,0.077,1.167
"E","East Long Lake",1992,153,1992-06-01,"KLONG","KLONG","ROT","Kellicotia longispina",0.102,534.5,848,6.179,0.130,0.007,0.041
"E","East Long Lake",1992,153,1992-06-01,"KBOST","KBOST","ROT","Kellicotia bostoniensis",0.102,1465.0,848,16.937,0.110,0.004,0.068
"E","East Long Lake",1992,153,1992-06-01,"GHYPT","MSBR","ROT","Gastropus hyptopus",0.549,762.5,848,1.638,0.110,0.027,0.044
"E","East Long Lake",1992,153,1992-06-01,"GSTYL","GSTYL","ROT","Gastropus stylifer",0.549,69.5,848,0.149,0.100,0.020,0.003
"E","East Long Lake",1992,153,1992-06-01,"SYNCH","SYNCH","ROT","Synchaeta sp.",0.549,10.0,848,0.021,0.161,0.050,0.001
"E","East Long Lake",1992,153,1992-06-01,"ASPLG","ASPLG","PROT","Asplanchna sp.",0.157,6494.5,848,48.781,0.482,2.576,125.637
"E","East Long Lake",1992,160,1992-06-08,"CCOL","CCOL","ROT","colonial Conochilus sp.",0.263,846.5,848,3.796,0.145,2.910,11.045
"E","East Long Lake",1992,160,1992-06-08,"CDAP","CDAP","CLAD","Ceriodaphnia",0.363,20.0,848,0.065,0.389,0.534,0.035
"E","East Long Lake",1992,160,1992-06-08,"BOS","BOS","CLAD","Bosmina longirostris",0.143,218.0,848,1.798,0.396,1.448,2.603
"E","East Long Lake",1992,160,1992-06-08,"CYCVR","DT-CYV","OCOP","Cyclops varicans rubellus",0.092,198.0,848,2.538,0.402,0.764,1.940
"E","East Long Lake",1992,160,1992-06-08,"COPD","COPD","OCOP","Copepodite",0.168,416.0,848,2.920,0.299,0.358,1.045
"E","East Long Lake",1992,160,1992-06-08,"NAUP","NAUP","OCOP","Nauplii",0.112,713.0,848,7.507,0.185,0.911,6.842
"E","East Long Lake",1992,160,1992-06-08,"KCOCH","KCOCH","ROT","Keratella cochlearis",0.102,1287.0,848,14.879,0.120,0.003,0.051
"E","East Long Lake",1992,160,1992-06-08,"KTEST","KTEST","ROT","Keratella testudo",0.102,317.0,848,3.665,0.130,0.004,0.016
"E","East Long Lake",1992,160,1992-06-08,"KTAU","KTAU","ROT","Keratella taurocephala",0.102,911.0,848,10.532,0.121,0.004,0.037
"E","East Long Lake",1992,160,1992-06-08,"PVULG","PVULG","ROT","Polyarthra vulgaris",0.073,3287.0,848,53.098,0.140,0.077,4.080
"E","East Long Lake",1992,160,1992-06-08,"KLONG","KLONG","ROT","Kellicotia longispina",0.102,1049.5,848,12.134,0.130,0.007,0.080
"E","East Long Lake",1992,160,1992-06-08,"KBOST","KBOST","ROT","Kellicotia bostoniensis",0.102,9207.0,848,106.444,0.110,0.004,0.425
"E","East Long Lake",1992,160,1992-06-08,"GHYPT","MSBR","ROT","Gastropus hyptopus",0.549,2079.0,848,4.466,0.110,0.027,0.119
"E","East Long Lake",1992,160,1992-06-08,"GSTYL","GSTYL","ROT","Gastropus stylifer",0.549,39.5,848,0.085,0.100,0.020,0.002
"E","East Long Lake",1992,160,1992-06-08,"TMULT","TMULT","ROT","Trichocerca multicrinis",0.102,59.5,848,0.688,0.161,1.353,0.931
"E","East Long Lake",1992,160,1992-06-08,"FLONG","FIL","ROT","Filinia longispina",0.102,79.0,848,0.913,0.160,0.053,0.049
"E","East Long Lake",1992,160,1992-06-08,"SYNCH","SYNCH","ROT","Synchaeta sp.",0.549,39.5,848,0.085,0.161,0.050,0.004
"E","East Long Lake",1992,160,1992-06-08,"ASPLG","ASPLG","PROT","Asplanchna sp.",0.157,9504.0,848,71.386,0.482,2.576,183.857
"E","East Long Lake",1992,160,1992-06-08,"AEUC","AEUC","ROT","Ascomorpha ecaudis",0.549,99.0,848,0.213,0.160,0.049,0.010
"E","East Long Lake",1992,167,1992-06-15,"CCOL","CCOL","ROT","colonial Conochilus sp.",0.263,1317.0,848,5.905,0.145,2.910,17.184
"E","East Long Lake",1992,167,1992-06-15,"CDAP","CDAP","CLAD","Ceriodaphnia",0.363,79.0,848,0.257,0.332,0.347,0.089
"E","East Long Lake",1992,167,1992-06-15,"BOS","BOS","CLAD","Bosmina longirostris",0.143,2396.0,848,19.759,0.304,0.739,14.602
"E","East Long Lake",1992,167,1992-06-15,"CYCVR","DT-CYV","OCOP","Cyclops varicans rubellus",0.092,158.5,848,2.032,0.598,2.106,4.279
"E","East Long Lake",1992,167,1992-06-15,"COPD","COPD","OCOP","Copepodite",0.168,138.5,848,0.972,0.295,0.346,0.337
"E","East Long Lake",1992,167,1992-06-15,"NAUP","NAUP","OCOP","Nauplii",0.112,376.0,848,3.959,0.179,0.896,3.546
"E","East Long Lake",1992,167,1992-06-15,"KCOCH","KCOCH","ROT","Keratella cochlearis",0.102,1683.0,848,19.458,0.120,0.003,0.067
"E","East Long Lake",1992,167,1992-06-15,"KTAU","KTAU","ROT","Keratella taurocephala",0.102,237.5,848,2.746,0.121,0.004,0.010
"E","East Long Lake",1992,167,1992-06-15,"PVULG","PVULG","ROT","Polyarthra vulgaris",0.073,3603.5,848,58.211,0.140,0.077,4.472
"E","East Long Lake",1992,167,1992-06-15,"KLONG","KLONG","ROT","Kellicotia longispina",0.102,416.0,848,4.809,0.130,0.007,0.032
"E","East Long Lake",1992,167,1992-06-15,"KBOST","KBOST","ROT","Kellicotia bostoniensis",0.102,6356.0,848,73.483,0.110,0.004,0.293
"E","East Long Lake",1992,167,1992-06-15,"GHYPT","MSBR","ROT","Gastropus hyptopus",0.549,4098.5,848,8.804,0.110,0.027,0.234
"E","East Long Lake",1992,167,1992-06-15,"TCYL","TCYL","ROT","Trichocerca cylindrica",0.102,20.0,848,0.231,0.322,2.706,0.626
"E","East Long Lake",1992,167,1992-06-15,"TMULT","TMULT","ROT","Trichocerca multicrinis",0.102,119.0,848,1.376,0.161,1.353,1.861
"E","East Long Lake",1992,167,1992-06-15,"FLONG","FIL","ROT","Filinia longispina",0.102,99.0,848,1.145,0.160,0.053,0.061
"E","East Long Lake",1992,167,1992-06-15,"SYNCH","SYNCH","ROT","Synchaeta sp.",0.549,59.5,848,0.128,0.161,0.050,0.006
"E","East Long Lake",1992,167,1992-06-15,"ASPLG","ASPLG","PROT","Asplanchna sp.",0.157,13088.0,848,98.305,0.482,2.576,253.190
"E","East Long Lake",1992,174,1992-06-22,"CCOL","CCOL","ROT","colonial Conochilus sp.",0.263,178.0,848,0.798,0.145,2.910,2.323
"E","East Long Lake",1992,174,1992-06-22,"KTAU","KTAU","ROT","Keratella taurocephala",0.102,336.5,848,3.890,0.121,0.004,0.014
"E","East Long Lake",1992,174,1992-06-22,"DPUL","DPUL","CLAD","Daphnia pulex",0.123,2.0,848,0.019,0.925,5.648,0.108
"E","East Long Lake",1992,174,1992-06-22,"PVULG","PVULG","ROT","Polyarthra vulgaris",0.073,4950.0,848,79.963,0.140,0.077,6.144
"E","East Long Lake",1992,174,1992-06-22,"DROS","DROS","CLAD","Daphnia rosea",0.123,4.0,848,0.038,0.744,3.124,0.120
"E","East Long Lake",1992,174,1992-06-22,"KLONG","KLONG","ROT","Kellicotia longispina",0.102,218.0,848,2.520,0.130,0.007,0.017
"E","East Long Lake",1992,174,1992-06-22,"CDAP","CDAP","CLAD","Ceriodaphnia",0.363,138.5,848,0.450,0.456,0.824,0.371
"E","East Long Lake",1992,174,1992-06-22,"KBOST","KBOST","ROT","Kellicotia bostoniensis",0.102,6534.0,848,75.541,0.110,0.004,0.302
"E","East Long Lake",1992,174,1992-06-22,"BOS","BOS","CLAD","Bosmina longirostris",0.143,3782.0,848,31.188,0.374,1.252,39.061
"E","East Long Lake",1992,174,1992-06-22,"GHYPT","MSBR","ROT","Gastropus hyptopus",0.549,1465.0,848,3.147,0.110,0.027,0.084
"E","East Long Lake",1992,174,1992-06-22,"ORTH","ORTH","OCOP","Orthocyclops modestus",0.092,20.0,848,0.256,0.603,2.152,0.552
"E","East Long Lake",1992,174,1992-06-22,"TMULT","TMULT","ROT","Trichocerca multicrinis",0.102,475.0,848,5.492,0.161,1.353,7.430
"E","East Long Lake",1992,174,1992-06-22,"COPD","COPD","OCOP","Copepodite",0.168,79.0,848,0.555,0.402,0.764,0.424
"E","East Long Lake",1992,174,1992-06-22,"FLONG","FIL","ROT","Filinia longispina",0.102,79.0,848,0.913,0.160,0.053,0.049
"E","East Long Lake",1992,174,1992-06-22,"NAUP","NAUP","OCOP","Nauplii",0.112,198.0,848,2.085,0.201,0.947,1.974
"E","East Long Lake",1992,174,1992-06-22,"SYNCH","SYNCH","ROT","Synchaeta sp.",0.549,59.5,848,0.128,0.161,0.050,0.006
"E","East Long Lake",1992,174,1992-06-22,"KCOCH","KCOCH","ROT","Keratella cochlearis",0.102,1544.5,848,17.856,0.120,0.003,0.062
"E","East Long Lake",1992,174,1992-06-22,"ASPLG","ASPLG","PROT","Asplanchna sp.",0.157,11919.5,848,89.529,0.482,2.576,230.585
"E","East Long Lake",1992,174,1992-06-22,"KTEST","KTEST","ROT","Keratella testudo",0.102,59.5,848,0.688,0.130,0.004,0.003
"E","East Long Lake",1992,181,1992-06-29,"CCOL","CCOL","ROT","colonial Conochilus sp.",0.263,79.0,848,0.354,0.145,2.910,1.031
"E","East Long Lake",1992,181,1992-06-29,"DPUL","DPUL","CLAD","Daphnia pulex",0.123,20.0,848,0.192,0.868,4.761,0.913
"E","East Long Lake",1992,181,1992-06-29,"ORTH","ORTH","OCOP","Orthocyclops modestus",0.092,63.5,848,0.814,0.583,1.973,1.606
"E","East Long Lake",1992,181,1992-06-29,"DROS","DROS","CLAD","Daphnia rosea",0.123,28.0,848,0.268,0.620,1.906,0.512
"E","East Long Lake",1992,181,1992-06-29,"COPD","COPD","OCOP","Copepodite",0.168,222.0,848,1.558,0.299,0.358,0.558
"E","East Long Lake",1992,181,1992-06-29,"CDAP","CDAP","CLAD","Ceriodaphnia",0.363,538.5,848,1.749,0.346,0.389,0.680
"E","East Long Lake",1992,181,1992-06-29,"NAUP","NAUP","OCOP","Nauplii",0.112,126.5,848,1.332,0.231,1.011,1.346
"E","East Long Lake",1992,181,1992-06-29,"BOS","BOS","CLAD","Bosmina longirostris",0.143,2914.5,848,24.034,0.387,1.363,32.765
"E","East Long Lake",1992,181,1992-06-29,"KCOCH","KCOCH","ROT","Keratella cochlearis",0.102,633.5,848,7.324,0.120,0.003,0.025
"E","East Long Lake",1992,181,1992-06-29,"KTAU","KTAU","ROT","Keratella taurocephala",0.102,633.5,848,7.324,0.121,0.004,0.026
"E","East Long Lake",1992,181,1992-06-29,"PVULG","PVULG","ROT","Polyarthra vulgaris",0.073,5544.0,848,89.558,0.140,0.077,6.881
"E","East Long Lake",1992,181,1992-06-29,"KLONG","KLONG","ROT","Kellicotia longispina",0.102,190.0,848,2.197,0.130,0.007,0.014
"E","East Long Lake",1992,181,1992-06-29,"KBOST","KBOST","ROT","Kellicotia bostoniensis",0.102,5607.5,848,64.830,0.110,0.004,0.259
"E","East Long Lake",1992,181,1992-06-29,"GHYPT","MSBR","ROT","Gastropus hyptopus",0.549,380.0,848,0.816,0.110,0.027,0.022
"E","East Long Lake",1992,181,1992-06-29,"TCYL","TCYL","ROT","Trichocerca cylindrica",0.102,63.5,848,0.734,0.322,2.706,1.987
"E","East Long Lake",1992,181,1992-06-29,"TMULT","TMULT","ROT","Trichocerca multicrinis",0.102,665.5,848,7.694,0.161,1.353,10.410
"E","East Long Lake",1992,181,1992-06-29,"FLONG","FIL","ROT","Filinia longispina",0.102,31.5,848,0.364,0.160,0.053,0.019
"E","East Long Lake",1992,181,1992-06-29,"ASPLG","ASPLG","PROT","Asplanchna sp.",0.157,8522.0,848,64.010,0.482,2.576,164.860
"E","East Long Lake",1992,188,1992-07-06,"CCOL","CCOL","ROT","colonial Conochilus sp.",0.263,257.0,848,1.152,0.145,2.910,3.353
"E","East Long Lake",1992,188,1992-07-06,"DPUL","DPUL","CLAD","Daphnia pulex",0.123,84.0,848,0.805,1.070,8.404,6.768
"E","East Long Lake",1992,188,1992-07-06,"DROS","DROS","CLAD","Daphnia rosea",0.123,44.0,848,0.422,0.724,2.899,1.223
"E","East Long Lake",1992,188,1992-07-06,"CDAP","CDAP","CLAD","Ceriodaphnia",0.363,1227.5,848,3.988,0.459,0.840,3.351
"E","East Long Lake",1992,188,1992-07-06,"BOS","BOS","CLAD","Bosmina longirostris",0.143,4118.5,848,33.963,0.330,0.913,31.009
"E","East Long Lake",1992,188,1992-07-06,"ORTH","ORTH","OCOP","Orthocyclops modestus",0.092,158.5,848,2.032,0.673,2.852,5.794
"E","East Long Lake",1992,188,1992-07-06,"COPD","COPD","OCOP","Copepodite",0.168,39.5,848,0.277,0.281,0.307,0.085
"E","East Long Lake",1992,188,1992-07-06,"NAUP","NAUP","OCOP","Nauplii",0.112,198.0,848,2.085,0.201,0.947,1.974
"E","East Long Lake",1992,188,1992-07-06,"KCOCH","KCOCH","ROT","Keratella cochlearis",0.102,1307.0,848,15.111,0.120,0.003,0.052
"E","East Long Lake",1992,188,1992-07-06,"KTAU","KTAU","ROT","Keratella taurocephala",0.102,633.5,848,7.324,0.121,0.004,0.026
"E","East Long Lake",1992,188,1992-07-06,"PVULG","PVULG","ROT","Polyarthra vulgaris",0.073,4237.0,848,68.445,0.140,0.077,5.259
"E","East Long Lake",1992,188,1992-07-06,"KBOST","KBOST","ROT","Kellicotia bostoniensis",0.102,8276.5,848,95.687,0.110,0.004,0.382
"E","East Long Lake",1992,188,1992-07-06,"GHYPT","MSBR","ROT","Gastropus hyptopus",0.549,475.0,848,1.020,0.110,0.027,0.027
"E","East Long Lake",1992,188,1992-07-06,"GSTYL","GSTYL","ROT","Gastropus stylifer",0.549,39.5,848,0.085,0.100,0.020,0.002
"E","East Long Lake",1992,188,1992-07-06,"TMULT","TMULT","ROT","Trichocerca multicrinis",0.102,1505.0,848,17.400,0.161,1.353,23.541
"E","East Long Lake",1992,188,1992-07-06,"FLONG","FIL","ROT","Filinia longispina",0.102,158.5,848,1.832,0.160,0.053,0.098
"E","East Long Lake",1992,188,1992-07-06,"ASPLG","ASPLG","PROT","Asplanchna sp.",0.157,2019.5,848,15.169,0.482,2.576,39.068
"E","East Long Lake",1992,195,1992-07-13,"CCOL","CCOL","ROT","colonial Conochilus sp.",0.263,219.0,848,0.982,0.145,2.910,2.857
"E","East Long Lake",1992,195,1992-07-13,"DPUL","DPUL","CLAD","Daphnia pulex",0.123,12.0,848,0.115,0.965,6.341,0.730
"E","East Long Lake",1992,195,1992-07-13,"DROS","DROS","CLAD","Daphnia rosea",0.123,68.0,848,0.652,0.605,1.785,1.164
"E","East Long Lake",1992,195,1992-07-13,"CDAP","CDAP","CLAD","Ceriodaphnia",0.363,2122.5,848,6.895,0.438,0.739,5.095
"E","East Long Lake",1992,195,1992-07-13,"BOS","BOS","CLAD","Bosmina longirostris",0.143,602.0,848,4.964,0.446,1.951,9.687
"E","East Long Lake",1992,195,1992-07-13,"ORTH","ORTH","OCOP","Orthocyclops modestus",0.092,31.5,848,0.404,0.683,2.962,1.196
"E","East Long Lake",1992,195,1992-07-13,"COPD","COPD","OCOP","Copepodite",0.168,63.5,848,0.446,0.295,0.346,0.154
"E","East Long Lake",1992,195,1992-07-13,"NAUP","NAUP","OCOP","Nauplii",0.112,31.5,848,0.332,0.188,0.917,0.304
"E","East Long Lake",1992,195,1992-07-13,"KCOCH","KCOCH","ROT","Keratella cochlearis",0.102,792.0,848,9.156,0.120,0.003,0.032
"E","East Long Lake",1992,195,1992-07-13,"KTAU","KTAU","ROT","Keratella taurocephala",0.102,253.5,848,2.931,0.121,0.004,0.010
"E","East Long Lake",1992,195,1992-07-13,"PVULG","PVULG","ROT","Polyarthra vulgaris",0.073,3548.0,848,57.315,0.140,0.077,4.404
"E","East Long Lake",1992,195,1992-07-13,"KBOST","KBOST","ROT","Kellicotia bostoniensis",0.102,7856.5,848,90.831,0.110,0.004,0.363
"E","East Long Lake",1992,195,1992-07-13,"GHYPT","MSBR","ROT","Gastropus hyptopus",0.549,752.5,848,1.616,0.110,0.027,0.043
"E","East Long Lake",1992,195,1992-07-13,"TCYL","TCYL","ROT","Trichocerca cylindrica",0.102,63.5,848,0.734,0.322,2.706,1.987
"E","East Long Lake",1992,195,1992-07-13,"TMULT","TMULT","ROT","Trichocerca multicrinis",0.102,412.0,848,4.763,0.161,1.353,6.444
"E","East Long Lake",1992,195,1992-07-13,"ASPLG","ASPLG","PROT","Asplanchna sp.",0.157,918.5,848,6.899,0.482,2.576,17.769
"E","East Long Lake",1992,202,1992-07-20,"CCOL","CCOL","ROT","colonial Conochilus sp.",0.263,119.0,848,0.534,0.145,2.910,1.553
"E","East Long Lake",1992,202,1992-07-20,"DPUL","DPUL","CLAD","Daphnia pulex",0.123,106.5,848,1.021,0.835,4.287,4.377
"E","East Long Lake",1992,202,1992-07-20,"DROS","DROS","CLAD","Daphnia rosea",0.123,125.5,848,1.203,0.648,2.145,2.581
"E","East Long Lake",1992,202,1992-07-20,"CDAP","CDAP","CLAD","Ceriodaphnia",0.363,2217.5,848,7.204,0.348,0.397,2.861
"E","East Long Lake",1992,202,1992-07-20,"BOS","BOS","CLAD","Bosmina longirostris",0.143,396.0,848,3.266,0.362,1.150,3.757
"E","East Long Lake",1992,202,1992-07-20,"ORTH","ORTH","OCOP","Orthocyclops modestus",0.092,4.0,848,0.051,0.884,5.721,0.293
"E","East Long Lake",1992,202,1992-07-20,"KCOCH","KCOCH","ROT","Keratella cochlearis",0.102,554.5,848,6.411,0.120,0.003,0.022
"E","East Long Lake",1992,202,1992-07-20,"KTAU","KTAU","ROT","Keratella taurocephala",0.102,581.5,848,6.723,0.121,0.004,0.024
"E","East Long Lake",1992,202,1992-07-20,"PVULG","PVULG","ROT","Polyarthra vulgaris",0.073,1980.0,848,31.985,0.140,0.077,2.457
"E","East Long Lake",1992,202,1992-07-20,"KBOST","KBOST","ROT","Kellicotia bostoniensis",0.102,2930.5,848,33.880,0.110,0.004,0.135
"E","East Long Lake",1992,202,1992-07-20,"GHYPT","MSBR","ROT","Gastropus hyptopus",0.549,79.0,848,0.170,0.110,0.027,0.005
"E","East Long Lake",1992,202,1992-07-20,"TMULT","TMULT","ROT","Trichocerca multicrinis",0.102,554.5,848,6.411,0.161,1.353,8.673
"E","East Long Lake",1992,202,1992-07-20,"ASPLG","ASPLG","PROT","Asplanchna sp.",0.157,475.0,848,3.568,0.482,2.576,9.189
"E","East Long Lake",1992,209,1992-07-27,"DPUL","DPUL","CLAD","Daphnia pulex",0.123,699.5,848,6.706,0.967,6.385,42.817
"E","East Long Lake",1992,209,1992-07-27,"DROS","DROS","CLAD","Daphnia rosea",0.123,360.5,848,3.456,0.735,3.030,10.473
"E","East Long Lake",1992,209,1992-07-27,"CDAP","CDAP","CLAD","Ceriodaphnia",0.363,1346.5,848,4.374,0.347,0.392,1.715
"E","East Long Lake",1992,209,1992-07-27,"BOS","BOS","CLAD","Bosmina longirostris",0.143,237.5,848,1.959,0.373,1.245,2.438
"E","East Long Lake",1992,209,1992-07-27,"ORTH","ORTH","OCOP","Orthocyclops modestus",0.092,39.5,848,0.506,0.945,6.770,3.428
"E","East Long Lake",1992,209,1992-07-27,"NAUP","NAUP","OCOP","Nauplii",0.112,119.0,848,1.253,0.155,0.838,1.050
"E","East Long Lake",1992,209,1992-07-27,"KCOCH","KCOCH","ROT","Keratella cochlearis",0.102,673.0,848,7.781,0.120,0.003,0.027
"E","East Long Lake",1992,209,1992-07-27,"KTAU","KTAU","ROT","Keratella taurocephala",0.102,633.5,848,7.324,0.121,0.004,0.026
"E","East Long Lake",1992,209,1992-07-27,"PVULG","PVULG","ROT","Polyarthra vulgaris",0.073,752.5,848,12.156,0.140,0.077,0.934
"E","East Long Lake",1992,209,1992-07-27,"KBOST","KBOST","ROT","Kellicotia bostoniensis",0.102,11127.5,848,128.648,0.110,0.004,0.514
"E","East Long Lake",1992,209,1992-07-27,"GHYPT","MSBR","ROT","Gastropus hyptopus",0.549,79.0,848,0.170,0.110,0.027,0.005
"E","East Long Lake",1992,209,1992-07-27,"TCYL","TCYL","ROT","Trichocerca cylindrica",0.102,158.5,848,1.832,0.322,2.706,4.958
"E","East Long Lake",1992,209,1992-07-27,"TMULT","TMULT","ROT","Trichocerca multicrinis",0.102,594.0,848,6.867,0.161,1.353,9.291
"E","East Long Lake",1992,209,1992-07-27,"FLONG","FIL","ROT","Filinia longispina",0.102,79.0,848,0.913,0.160,0.053,0.049
"E","East Long Lake",1992,209,1992-07-27,"ASPLG","ASPLG","PROT","Asplanchna sp.",0.157,435.5,848,3.271,0.482,2.576,8.425
"E","East Long Lake",1992,209,1992-07-27,"PLOES","GPLOES","ROT","Ploesoma sp.",0.549,39.5,848,0.085,0.121,0.027,0.002
"E","East Long Lake",1992,216,1992-08-03,"DPUL","DPUL","CLAD","Daphnia pulex",0.123,1620.5,848,15.536,0.959,6.237,96.896
"E","East Long Lake",1992,216,1992-08-03,"DROS","DROS","CLAD","Daphnia rosea",0.123,67.5,848,0.647,0.804,3.862,2.499
"E","East Long Lake",1992,216,1992-08-03,"CDAP","CDAP","CLAD","Ceriodaphnia",0.363,760.5,848,2.471,0.469,0.891,2.202
"E","East Long Lake",1992,216,1992-08-03,"BOS","BOS","CLAD","Bosmina longirostris",0.143,126.5,848,1.043,0.392,1.408,1.469
"E","East Long Lake",1992,216,1992-08-03,"KCOCH","KCOCH","ROT","Keratella cochlearis",0.102,887.0,848,10.255,0.120,0.003,0.035
"E","East Long Lake",1992,216,1992-08-03,"KTAU","KTAU","ROT","Keratella taurocephala",0.102,697.0,848,8.058,0.121,0.004,0.029
"E","East Long Lake",1992,216,1992-08-03,"PVULG","PVULG","ROT","Polyarthra vulgaris",0.073,1267.0,848,20.467,0.140,0.077,1.573
"E","East Long Lake",1992,216,1992-08-03,"KBOST","KBOST","ROT","Kellicotia bostoniensis",0.102,5781.5,848,66.841,0.110,0.004,0.267
"E","East Long Lake",1992,216,1992-08-03,"TMULT","TMULT","ROT","Trichocerca multicrinis",0.102,507.0,848,5.862,0.161,1.353,7.930
"E","East Long Lake",1992,216,1992-08-03,"ASPLG","ASPLG","PROT","Asplanchna sp.",0.157,380.0,848,2.854,0.482,2.576,7.351
"E","East Long Lake",1992,216,1992-08-03,"AEUC","AEUC","ROT","Ascomorpha ecaudis",0.549,63.5,848,0.136,0.160,0.049,0.007
"E","East Long Lake",1992,216,1992-08-03,"PLOES","GPLOES","ROT","Ploesoma sp.",0.549,126.5,848,0.272,0.121,0.027,0.007
"E","East Long Lake",1992,223,1992-08-10,"DPUL","DPUL","CLAD","Daphnia pulex",0.123,879.0,848,8.427,1.080,8.610,72.562
"E","East Long Lake",1992,223,1992-08-10,"DROS","DROS","CLAD","Daphnia rosea",0.123,377.0,848,3.614,1.203,11.564,41.799
"E","East Long Lake",1992,223,1992-08-10,"BOS","BOS","CLAD","Bosmina longirostris",0.143,79.0,848,0.651,0.352,1.071,0.698
"E","East Long Lake",1992,223,1992-08-10,"KCOCH","KCOCH","ROT","Keratella cochlearis",0.102,990.0,848,11.446,0.120,0.003,0.040
"E","East Long Lake",1992,223,1992-08-10,"KTAU","KTAU","ROT","Keratella taurocephala",0.102,317.0,848,3.665,0.121,0.004,0.013
