lakeid,lakename,year4,daynum,sampledate,areal_prod_mixed,vol_prod_mixed,areal_prod_pzone,vol_prod_pzone
"L","Paul Lake",1985,228,1985-08-16,511.4431,340.9620,937.0458,164.3940
"L","Paul Lake",1985,229,1985-08-17,551.0947,367.3965,963.2322,168.9881
"L","Paul Lake",1985,230,1985-08-18,630.4106,420.2737,1262.5870,221.5065
"L","Paul Lake",1985,231,1985-08-19,621.7264,414.4843,1033.3090,181.2822
"L","Paul Lake",1985,232,1985-08-20,485.4695,320.5931,735.0670,129.6088
"L","Paul Lake",1985,233,1985-08-21,467.2019,305.6461,710.2271,125.8630
"L","Paul Lake",1985,234,1985-08-22,530.9864,344.1579,1046.9200,186.4744
"L","Paul Lake",1985,235,1985-08-23,475.1724,305.1566,918.5120,164.4395
"L","Paul Lake",1985,236,1985-08-24,416.5646,265.0866,739.8495,133.1349
"L","Paul Lake",1985,237,1985-08-25,349.7683,220.5746,625.7433,113.1835
"L","Paul Lake",1985,238,1985-08-26,238.7004,149.1877,355.3292,64.6053
"L","Paul Lake",1985,239,1985-08-27,308.5316,194.5695,574.6438,104.4807
"L","Paul Lake",1985,240,1985-08-28,340.6444,216.7737,637.3628,115.8841
"L","Paul Lake",1985,241,1985-08-29,369.0804,237.0241,717.7383,130.4979
"L","Paul Lake",1985,242,1985-08-30,354.8733,230.0105,561.0735,102.0134
"L","Paul Lake",1985,243,1985-08-31,342.8687,224.3067,520.2831,94.5969
"L","Paul Lake",1985,244,1985-09-01,456.1315,301.2189,861.3564,156.6103
"L","Paul Lake",1985,245,1985-09-02,478.4476,318.9651,879.1005,159.8365
"L","Paul Lake",1985,246,1985-09-03,472.2255,314.8170,872.7236,158.6770
"L","Paul Lake",1985,247,1985-09-04,434.8562,289.9041,728.2468,132.4085
"L","Paul Lake",1985,248,1985-09-05,416.9381,277.9587,682.4068,124.0740
"L","Paul Lake",1985,249,1985-09-06,396.0151,264.0101,631.8286,114.8779
"L","Paul Lake",1985,250,1985-09-07,444.3743,296.2495,846.5748,153.9227
"L","Paul Lake",1985,251,1985-09-08,430.0486,286.6990,893.0906,162.3801
"L","Paul Lake",1985,252,1985-09-09,424.6472,283.0981,865.8601,157.4291
"L","Paul Lake",1985,253,1985-09-10,417.0313,278.0209,846.9828,153.9969
"L","Paul Lake",1985,254,1985-09-11,412.1563,274.7708,796.2413,144.7711
"L","Paul Lake",1985,255,1985-09-12,402.3695,268.2463,801.6794,145.7599
"L","Paul Lake",1985,256,1985-09-13,393.6162,262.4108,720.6744,131.0317
"L","Paul Lake",1985,257,1985-09-14,375.9854,250.6570,648.6912,117.9438
"L","Paul Lake",1985,258,1985-09-15,378.4579,252.3053,724.9565,131.8103
"L","Paul Lake",1985,259,1985-09-16,367.7899,245.1932,738.1343,134.2062
"L","Paul Lake",1986,146,1986-05-26,128.6587,73.5192,265.8863,48.3430
"L","Paul Lake",1986,147,1986-05-27,139.3343,81.2783,294.2856,53.1613
"L","Paul Lake",1986,148,1986-05-28,151.3829,90.1856,316.7621,56.8547
"L","Paul Lake",1986,149,1986-05-29,162.4644,98.8914,340.0037,60.6376
"L","Paul Lake",1986,150,1986-05-30,173.8574,108.1779,358.5377,63.5383
"L","Paul Lake",1986,151,1986-05-31,182.9348,116.4130,385.1219,67.8202
"L","Paul Lake",1986,152,1986-06-01,191.5350,124.7205,349.1171,61.0955
"L","Paul Lake",1986,153,1986-06-02,198.2522,132.1682,440.4745,76.6042
"L","Paul Lake",1986,154,1986-06-03,221.7184,147.8122,492.0148,85.5678
"L","Paul Lake",1986,155,1986-06-04,247.2524,164.8349,452.1128,78.6283
"L","Paul Lake",1986,156,1986-06-05,267.7350,178.4900,589.3759,102.5002
"L","Paul Lake",1986,157,1986-06-06,298.7602,199.1735,592.5107,103.0453
"L","Paul Lake",1986,158,1986-06-07,315.3007,210.2005,562.9879,97.9109
"L","Paul Lake",1986,159,1986-06-08,342.2270,228.1514,696.0546,121.0530
"L","Paul Lake",1986,160,1986-06-09,358.5977,239.0651,752.9903,130.9548
"L","Paul Lake",1986,161,1986-06-10,342.2451,233.7284,598.0735,104.0128
"L","Paul Lake",1986,162,1986-06-11,218.6189,153.0332,316.9905,55.1288
"L","Paul Lake",1986,163,1986-06-12,324.7925,233.1843,673.4768,117.1264
"L","Paul Lake",1986,164,1986-06-13,309.9463,228.3815,661.2575,115.0013
"L","Paul Lake",1986,165,1986-06-14,299.1227,226.3631,627.2987,109.0954
"L","Paul Lake",1986,166,1986-06-15,285.1472,221.7812,613.3138,106.6633
"L","Paul Lake",1986,167,1986-06-16,269.0410,215.2328,607.0004,105.5653
"L","Paul Lake",1986,168,1986-06-17,277.9120,216.1538,632.5048,109.3218
"L","Paul Lake",1986,169,1986-06-18,295.9350,223.9508,632.3519,108.6249
"L","Paul Lake",1986,170,1986-06-19,311.1682,229.2818,635.8984,108.5680
"L","Paul Lake",1986,171,1986-06-20,320.4381,230.0581,669.0284,113.5321
"L","Paul Lake",1986,172,1986-06-21,336.1971,235.3380,602.1526,101.5679
"L","Paul Lake",1986,173,1986-06-22,352.4124,240.6719,670.2698,112.3806
"L","Paul Lake",1986,174,1986-06-23,366.3992,244.2661,666.2847,111.0474
"L","Paul Lake",1986,175,1986-06-24,343.8523,223.9038,693.7650,116.3199
"L","Paul Lake",1986,176,1986-06-25,338.7784,215.5862,597.6284,100.8048
"L","Paul Lake",1986,177,1986-06-26,321.5968,200.1047,607.6266,103.1124
"L","Paul Lake",1986,178,1986-06-27,305.8394,186.1631,571.3322,97.5445
"L","Paul Lake",1986,179,1986-06-28,286.3590,170.5969,546.1435,93.8161
"L","Paul Lake",1986,180,1986-06-29,266.3527,155.3724,515.6333,89.1218
"L","Paul Lake",1986,181,1986-06-30,247.0816,141.1895,478.5972,83.2343
"L","Paul Lake",1986,182,1986-07-01,256.4503,149.5960,471.7262,82.5521
"L","Paul Lake",1986,183,1986-07-02,261.1990,155.6079,491.7799,86.6028
"L","Paul Lake",1986,184,1986-07-03,261.7235,159.3100,532.6861,94.4001
"L","Paul Lake",1986,185,1986-07-04,267.0369,166.1563,477.4620,85.1525
"L","Paul Lake",1986,186,1986-07-05,273.4694,174.0260,543.9438,97.6309
"L","Paul Lake",1986,187,1986-07-06,274.6095,178.8155,576.8044,104.1969
"L","Paul Lake",1986,188,1986-07-07,275.9659,183.9773,600.2837,109.1425
"L","Paul Lake",1986,189,1986-07-08,300.2506,200.1671,522.4496,93.5332
"L","Paul Lake",1986,190,1986-07-09,338.4680,225.6453,688.6190,121.4190
"L","Paul Lake",1986,191,1986-07-10,373.4767,248.9845,704.3375,122.3415
"L","Paul Lake",1986,192,1986-07-11,277.4612,184.9742,391.6213,67.0257
"L","Paul Lake",1986,193,1986-07-12,407.2253,271.4835,650.0487,109.6468
"L","Paul Lake",1986,194,1986-07-13,425.2202,283.4801,661.2682,109.9496
"L","Paul Lake",1986,195,1986-07-14,490.7774,327.1849,856.5865,140.4240
"L","Paul Lake",1986,196,1986-07-15,452.6495,301.7664,693.5775,116.0106
"L","Paul Lake",1986,197,1986-07-16,501.3508,334.2339,863.8903,147.4935
"L","Paul Lake",1986,198,1986-07-17,499.4296,332.9531,937.6261,163.4715
"L","Paul Lake",1986,199,1986-07-18,513.0300,342.0200,902.0535,160.6711
"L","Paul Lake",1986,200,1986-07-19,518.4895,345.6597,897.9359,163.4734
"L","Paul Lake",1986,201,1986-07-20,518.2559,345.5039,959.6932,178.6663
"L","Paul Lake",1986,202,1986-07-21,520.8330,347.2220,975.7262,185.8526
"L","Paul Lake",1986,203,1986-07-22,519.1497,346.0998,953.5726,180.4056
"L","Paul Lake",1986,204,1986-07-23,510.9081,340.6054,953.7622,179.2305
"L","Paul Lake",1986,205,1986-07-24,467.0433,311.3622,743.6132,138.8078
"L","Paul Lake",1986,206,1986-07-25,492.2091,328.1394,961.0266,178.2036
"L","Paul Lake",1986,207,1986-07-26,486.7221,324.4814,941.7532,173.4809
"L","Paul Lake",1986,208,1986-07-27,476.3980,317.5987,879.2540,160.9092
"L","Paul Lake",1986,209,1986-07-28,467.4265,311.6176,947.2554,172.2282
"L","Paul Lake",1986,210,1986-07-29,452.0469,301.3646,933.7438,169.7716
"L","Paul Lake",1986,211,1986-07-30,440.7285,293.8190,827.9946,150.5445
"L","Paul Lake",1986,212,1986-07-31,425.2865,283.5243,877.6801,159.5782
"L","Paul Lake",1986,213,1986-08-01,413.5116,275.6744,785.5251,142.8228
"L","Paul Lake",1986,214,1986-08-02,397.5862,265.0575,811.3157,147.5119
"L","Paul Lake",1986,215,1986-08-03,383.8751,255.9167,762.4220,138.6222
"L","Paul Lake",1986,216,1986-08-04,365.8470,243.8980,750.7094,136.4926
"L","Paul Lake",1986,217,1986-08-05,375.5505,244.5445,733.1907,133.3074
"L","Paul Lake",1986,218,1986-08-06,382.1734,243.2012,675.2767,122.7776
"L","Paul Lake",1986,219,1986-08-07,382.7543,238.1582,632.2635,114.9570
"L","Paul Lake",1986,220,1986-08-08,400.5994,243.8431,691.5005,125.7274
"L","Paul Lake",1986,221,1986-08-09,406.2062,241.9952,716.6991,130.3089
"L","Paul Lake",1986,222,1986-08-10,409.4756,238.8608,636.2203,115.6764
"L","Paul Lake",1986,223,1986-08-11,420.3446,240.1969,708.7712,128.8675
"L","Paul Lake",1986,224,1986-08-12,398.4523,232.4305,687.5401,125.0073
"L","Paul Lake",1986,225,1986-08-13,380.1266,226.4584,645.8959,117.4356
"L","Paul Lake",1986,226,1986-08-14,296.5340,180.4990,423.0811,76.9238
"L","Paul Lake",1986,227,1986-08-15,337.5264,210.0164,601.5192,109.3671
"L","Paul Lake",1986,228,1986-08-16,315.9530,201.0610,586.6088,106.6562
"L","Paul Lake",1986,229,1986-08-17,294.5949,191.8293,568.8179,103.4214
"L","Paul Lake",1986,230,1986-08-18,272.3826,181.5884,554.1478,100.7541
"L","Paul Lake",1986,231,1986-08-19,295.1481,196.7654,595.2797,107.1197
"L","Paul Lake",1986,232,1986-08-20,307.8697,205.2465,519.4600,92.5247
"L","Paul Lake",1986,233,1986-08-21,339.9572,226.6382,677.9742,119.5420
"L","Paul Lake",1986,234,1986-08-22,289.1464,192.7643,434.0187,75.7639
"L","Paul Lake",1986,235,1986-08-23,387.5142,258.3428,746.2275,128.9776
"L","Paul Lake",1986,236,1986-08-24,411.1895,274.1263,761.0680,130.2561
"L","Paul Lake",1986,237,1986-08-25,431.7548,287.8365,779.6334,132.1413
"L","Paul Lake",1986,238,1986-08-26,414.9375,264.0511,683.1195,115.5033
"L","Paul Lake",1986,239,1986-08-27,433.7310,264.0102,803.2958,135.4957
"L","Paul Lake",1986,240,1986-08-28,430.9684,251.3982,802.4815,135.0329
"L","Paul Lake",1986,241,1986-08-29,428.0604,239.7138,790.9282,132.7697
"L","Paul Lake",1986,242,1986-08-30,425.5630,229.1493,753.7427,126.2249
"L","Paul Lake",1986,243,1986-08-31,418.5002,217.0001,757.9681,126.6295
"L","Paul Lake",1986,244,1986-09-01,411.5561,205.7780,712.7183,118.7864
"L","Paul Lake",1987,145,1987-05-25,503.3201,201.3280,926.0385,148.1662
"L","Paul Lake",1987,146,1987-05-26,457.2327,191.0823,871.0770,141.8032
"L","Paul Lake",1987,147,1987-05-27,410.6699,179.6681,801.8045,132.8434
"L","Paul Lake",1987,148,1987-05-28,369.3810,169.5519,792.4933,133.6736
"L","Paul Lake",1987,149,1987-05-29,324.5220,156.6658,699.7454,120.2017
"L","Paul Lake",1987,150,1987-05-30,283.9041,144.5330,655.2200,114.6635
"L","Paul Lake",1987,151,1987-05-31,242.4288,130.5386,591.5501,105.4994
"L","Paul Lake",1987,152,1987-06-01,201.9979,115.4274,461.8242,83.9680
"L","Paul Lake",1987,153,1987-06-02,206.5982,123.0798,506.1623,90.8496
"L","Paul Lake",1987,154,1987-06-03,210.9046,131.2295,459.5220,81.4343
"L","Paul Lake",1987,155,1987-06-04,216.1139,140.7253,565.9498,99.0412
"L","Paul Lake",1987,156,1987-06-05,218.9217,149.5075,595.2662,102.8855
"L","Paul Lake",1987,157,1987-06-06,221.1947,158.8064,603.3462,103.0103
"L","Paul Lake",1987,158,1987-06-07,221.6312,167.7209,619.5740,104.5065
"L","Paul Lake",1987,159,1987-06-08,217.5240,174.0192,584.8278,97.4713
"L","Paul Lake",1987,160,1987-06-09,212.7294,165.4562,680.6718,114.8121
"L","Paul Lake",1987,161,1987-06-10,209.8368,158.7954,597.2013,101.9612
"L","Paul Lake",1987,162,1987-06-11,201.6944,148.6170,507.1511,87.6557
"L","Paul Lake",1987,163,1987-06-12,196.0041,140.7209,513.8683,89.9270
"L","Paul Lake",1987,164,1987-06-13,185.3552,129.7486,505.9813,89.6676
"L","Paul Lake",1987,165,1987-06-14,176.0750,120.2463,450.8729,80.9259
"L","Paul Lake",1987,166,1987-06-15,168.4076,112.2717,370.6902,67.3982
"L","Paul Lake",1987,167,1987-06-16,188.7435,125.8290,441.1269,80.2049
"L","Paul Lake",1987,168,1987-06-17,211.8122,141.2081,480.5848,87.3791
"L","Paul Lake",1987,169,1987-06-18,232.7719,155.1813,521.5231,94.8224
"L","Paul Lake",1987,170,1987-06-19,253.1291,168.7527,571.9560,103.9920
"L","Paul Lake",1987,171,1987-06-20,273.2804,182.1869,623.1109,113.2929
"L","Paul Lake",1987,172,1987-06-21,293.2137,195.4758,672.8292,122.3326
"L","Paul Lake",1987,173,1987-06-22,312.9307,208.6205,721.2271,131.1322
"L","Paul Lake",1987,174,1987-06-23,283.4146,193.5515,665.0300,120.9146
"L","Paul Lake",1987,175,1987-06-24,254.0665,177.8465,605.9136,110.1661
"L","Paul Lake",1987,177,1987-06-26,196.0126,144.4303,475.4815,86.4512
"L","Paul Lake",1987,178,1987-06-27,167.2762,126.5874,395.9162,71.9848
"L","Paul Lake",1987,179,1987-06-28,138.6845,107.8657,340.7342,61.9517
